company_name_pdf,list_date_pdf,list_year,match_status,pdf_filename,pdf_path,stock_code,unmatched_reason,windcode_candidates,windcode_resolved,windcode_rule
德合集團,2020-06-30,2020,matched,00368_30-06-2020_德合集團_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00368_30-06-2020_德合集團_股份發售.pdf,00368,,368.HK|0368.HK|00368.HK,0368.HK,pad4
建中建設,2020-02-28,2020,matched,00589_28-02-2020_建中建設_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00589_28-02-2020_建中建設_股份發售.pdf,00589,,589.HK|0589.HK|00589.HK,0589.HK,pad4
世茂服務,2020-10-20,2020,matched,00873_20-10-2020_世茂服務_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00873_20-10-2020_世茂服務_全球發售.pdf,00873,,873.HK|0873.HK|00873.HK,0873.HK,pad4
明源雲,2020-09-15,2020,matched,00909_15-09-2020_明源雲_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/00909_15-09-2020_明源雲_全球發售.pdf,00909,,909.HK|0909.HK|00909.HK,0909.HK,pad4
伊登軟件,2020-04-23,2020,matched,01147_23-04-2020_伊登軟件_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01147_23-04-2020_伊登軟件_股份發售.pdf,01147,,1147.HK|01147.HK,1147.HK,strip_zero
佳源服務,2020-11-27,2020,matched,01153_27-11-2020_佳源服務_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01153_27-11-2020_佳源服務_全球發售.pdf,01153,,1153.HK|01153.HK,1153.HK,strip_zero
CHINANEWENERGY,2020-06-30,2020,matched,01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01156_30-06-2020_CHINANEWENERGY_全球發售.pdf,01156,,1156.HK|01156.HK,1156.HK,strip_zero
虎視傳媒,2020-06-29,2020,matched,01163_29-06-2020_虎視傳媒_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01163_29-06-2020_虎視傳媒_全球發售.pdf,01163,,1163.HK|01163.HK,1163.HK,strip_zero
加科思－Ｂ,2020-12-09,2020,matched,01167_09-12-2020_加科思－Ｂ_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01167_09-12-2020_加科思－Ｂ_全球發售.pdf,01167,,1167.HK|01167.HK,1167.HK,strip_zero
華住集團－Ｓ,2020-09-11,2020,matched,01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01179_11-09-2020_華住集團－Ｓ_全球發售.pdf,01179,,1179.HK|01179.HK,1179.HK,strip_zero
華潤萬象生活,2020-11-25,2020,matched,01209_25-11-2020_華潤萬象生活_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01209_25-11-2020_華潤萬象生活_全球發售.pdf,01209,,1209.HK|01209.HK,1209.HK,strip_zero
天兆豬業,2020-10-29,2020,unmatched,01248_29-10-2020_天兆豬業_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01248_29-10-2020_天兆豬業_全球發售.pdf,01248,EOD全库无匹配WindCode，可能暂缓/取消上市或极短交易后摘牌,1248.HK|01248.HK,,
偉源控股,2020-02-25,2020,matched,01343_25-02-2020_偉源控股_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01343_25-02-2020_偉源控股_股份發售.pdf,01343,,1343.HK|01343.HK,1343.HK,strip_zero
輝煌明天,2020-10-28,2020,matched,01351_28-10-2020_輝煌明天_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01351_28-10-2020_輝煌明天_股份發售.pdf,01351,,1351.HK|01351.HK,1351.HK,strip_zero
RAFFLESINTERIOR,2020-04-21,2020,matched,01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01376_21-04-2020_RAFFLESINTERIOR_股份發售.pdf,01376,,1376.HK|01376.HK,1376.HK,strip_zero
温嶺工量刃具,2020-12-11,2020,matched,01379_11-12-2020_温嶺工量刃具_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01379_11-12-2020_温嶺工量刃具_全球發售.pdf,01379,,1379.HK|01379.HK,1379.HK,strip_zero
濠江機電,2020-08-31,2020,matched,01408_31-08-2020_濠江機電_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01408_31-08-2020_濠江機電_全球發售.pdf,01408,,1408.HK|01408.HK,1408.HK,strip_zero
天任集團,2020-09-15,2020,matched,01429_15-09-2020_天任集團_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01429_15-09-2020_天任集團_股份發售.pdf,01429,,1429.HK|01429.HK,1429.HK,strip_zero
常達控股,2020-02-28,2020,matched,01433_28-02-2020_常達控股_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01433_28-02-2020_常達控股_全球發售.pdf,01433,,1433.HK|01433.HK,1433.HK,strip_zero
DEYUN HOLDING,2020-12-28,2020,matched,01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01440_28-12-2020_DEYUN HOLDING_股份發售.pdf,01440,,1440.HK|01440.HK,1440.HK,strip_zero
立德教育,2020-07-27,2020,matched,01449_27-07-2020_立德教育_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01449_27-07-2020_立德教育_全球發售.pdf,01449,,1449.HK|01449.HK,1449.HK,strip_zero
科利實業控股,2020-08-31,2020,matched,01455_31-08-2020_科利實業控股_全球發售.pdf,/nfs/users/wuqianqian/IPOI/dataset/2020/01455_31-08-2020_科利實業控股_全球發售.pdf,01455,,1455.HK|01455.HK,1455.HK,strip_zero
