date,industry,n_members,eq_return,total_amount,newhigh_ratio
2020-01-02,TMT/互联网,180,,13178034.829,0.0
2020-01-02,地产/建筑,408,,10131267.097,0.0
2020-01-02,工业/制造,385,,5414797.18,0.0
2020-01-02,教育/服务,2,,37792.52,0.0
2020-01-02,新能源/汽车,89,,2312728.5300000003,0.0
2020-01-02,消费/零售,643,,14654733.443,0.0
2020-01-02,生物科技/医药,151,,3178899.519,0.0
2020-01-02,金融,200,,17272961.019,0.0
2020-01-03,TMT/互联网,180,-0.0013586436913944208,14387701.743999999,0.0
2020-01-03,地产/建筑,408,-0.0029469624275507626,9082346.415000001,0.0
2020-01-03,工业/制造,385,0.0017862813842829423,6647057.797,0.0
2020-01-03,教育/服务,2,0.01483021426822595,106212.818,0.0
2020-01-03,新能源/汽车,89,0.006778013265775156,4230967.178,0.0
2020-01-03,消费/零售,643,-0.0033185900071698153,13891779.276999999,0.0
2020-01-03,生物科技/医药,151,0.00645899434479092,3093649.644,0.0
2020-01-03,金融,200,0.0008418864862874192,18648855.68,0.0
2020-01-06,TMT/互联网,180,-0.00484241129887212,12004064.349,0.0
2020-01-06,地产/建筑,408,-0.009890733175664657,9009097.536,0.0
2020-01-06,工业/制造,385,-0.001770556496740818,6922235.4969999995,0.0
2020-01-06,教育/服务,2,-0.015571120692989604,34068.403,0.0
2020-01-06,新能源/汽车,89,-0.0034475480456446603,4463083.841,0.0
2020-01-06,消费/零售,643,-0.003826128829333766,14509406.976,0.0
2020-01-06,生物科技/医药,151,-0.012221145673276769,3669939.205,0.0
2020-01-06,金融,200,-0.005761095526017678,14825748.894,0.0
2020-01-07,TMT/互联网,180,-0.0007315289813085293,12961016.181,0.0
2020-01-07,地产/建筑,408,0.004146521237828855,8379192.365,0.0
2020-01-07,工业/制造,385,0.00046232887603987646,7241204.232,0.0
2020-01-07,教育/服务,2,0.005309538439376482,35409.13,0.0
2020-01-07,新能源/汽车,89,-0.001609528761753546,2969010.117,0.0
2020-01-07,消费/零售,643,0.001325571084394065,15112614.253,0.0
2020-01-07,生物科技/医药,151,0.008429198890144209,3640320.194,0.0
2020-01-07,金融,200,0.00249552521327353,12783649.401,0.0
2020-01-08,TMT/互联网,180,-0.006278737168900732,12402545.350000001,0.0
2020-01-08,地产/建筑,409,-0.009772353877313471,8263736.243,0.0
2020-01-08,工业/制造,385,-0.005522605486677998,6025167.74,0.0
2020-01-08,教育/服务,2,-0.0026163937466794907,23664.313000000002,0.0
