wind_norm,name,ede_list_date,board,industry_concept,concepts,industry_hsics,hsics_l1_name,hsics_index_code,hsics_index_name,industry,industry_source
0001.HK,长和,1972-11-01,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]长和系,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,其他,fallback
0002.HK,中电控股,1980-01-02,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地股;[HK]香港本地消费;[HK]公用事业;[HK]蓝筹股;[HK]核心资产,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,消费/零售,concept
0003.HK,香港中华煤气,1960-12-31,主板,消费/零售,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]香港本地消费;[HK]公用事业;[HK]蓝筹股;[HK]核心资产;[HK]外资企业,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,消费/零售,concept
0004.HK,九龙仓集团,1921-01-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]内地房地产;[HK]蓝筹地产;[HK]物业租赁;[HK]纳入MSCI香港,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0005.HK,汇丰控股,1980-01-02,主板,金融,[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]本地银行;[HK]财产管理,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
0006.HK,电能实业,1980-01-02,主板,新能源/汽车,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]公用事业;[HK]蓝筹股;[HK]核心资产;[HK]外资企业;[HK]长和系;[HK]智能电网,其他,公用事业,HSCIUT.HI,恒生综合行业指数-公用事业,新能源/汽车,concept
0007.HK,智富资源投资,2000-09-08,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0008.HK,电讯盈科,1994-10-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]香港本地股;[HK]电信;[HK]移动互联网;[HK]外资企业;[HK]5G;[HK]长和系,TMT/互联网,电讯业,HSCITC.HI,恒生综合行业指数-电讯业,TMT/互联网,hsics
0010.HK,恒隆集团,1972-10-12,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]外资企业;[HK]蓝筹地产;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0012.HK,恒基地产,1981-07-23,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]蓝筹地产;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0013.HK,和黄医药,2021-06-30,主板,生物科技/医药,[HK]养老产业;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]CXO;[HK]核心资产;[HK]中概股回归,生物科技/医药,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,生物科技/医药,hsics
0014.HK,希慎兴业,1981-09-18,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]蓝筹地产;[HK]物业租赁,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0016.HK,新鸿基地产,1972-09-08,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]香港本地股;[HK]蓝筹股;[HK]核心资产;[HK]蓝筹地产;[HK]外资企业;[HK]物业投资;[HK]现代服务业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0017.HK,新世界发展,1972-11-23,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]连锁酒店;[HK]物业投资;[HK]蓝筹地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0018.HK,东方传媒集团,1987-08-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]外资企业;[HK]文化传媒;[HK]影视传媒,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
0019.HK,太古股份公司A,1973-05-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]蓝筹股;[HK]外资企业;[HK]物业租赁;[HK]蓝筹地产,其他,综合企业,HSCICO.HI,恒生综合行业指数-综合企业,地产/建筑,concept
0020.HK,商汤-W,2021-12-30,主板,TMT/互联网,[HK]AIPC指数;[HK]AI AGENT(小龙虾);[HK]基础大模型;[HK]DeepSeek;[HK]AIGC备案;万得(港股)中国企业综合指数成份;[HK]ChatGPT;[HK]AIGC;[HK]新经济;[HK]港股通;[HK]同股不同权;[HK]核心资产;[HK]互联网;[HK]人工智能;[HK]云计算;[HK]外资企业,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
0021.HK,大中华控股,1954-03-01,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]中资物业管理;[HK]内地房地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
0022.HK,茂盛控股,1972-12-14,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
