stock_code,windcode,wind_norm,company_display,list_date,first_trade_date,ede_list_date,industry,industry_source,hsics_l1_name,hsics_index_code,hsics_index_name,concepts,needs_manual_label
00368,0368.HK,0368.HK,德合集團,2020-06-30,2020-07-17,2020-07-17,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份;[HK]外资企业,False
00589,0589.HK,0589.HK,建中建設,2020-02-28,2020-03-18,,其他,fallback,,,,,True
00873,0873.HK,0873.HK,世茂服務,2020-10-20,2020-10-30,2020-10-30,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份;[HK]中资物业管理,False
00909,0909.HK,0909.HK,明源雲,2020-09-15,2020-09-25,2020-09-25,TMT/互联网,hsics,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,[HK]AIPC指数;[HK]DeepSeek;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]高瓴资本;[HK]SaaS;[HK]云计算;[HK]网络科技股,False
01147,1147.HK,1147.HK,伊登軟件,2020-04-23,2020-05-13,2020-05-13,TMT/互联网,hsics,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,万得(港股)中国企业综合指数成份,False
01153,1153.HK,1153.HK,佳源服務,2020-11-27,2020-12-09,2020-12-09,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份;[HK]外资企业,False
01156,1156.HK,1156.HK,CHINANEWENERGY,2020-06-30,2020-07-15,2020-07-15,工业/制造,hsics,工业,HSCIIN.HI,恒生综合行业指数-工业,万得(港股)中国企业综合指数成份,False
01163,1163.HK,1163.HK,虎視傳媒,2020-06-29,2020-07-10,2020-07-10,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份,False
01167,1167.HK,1167.HK,加科思－Ｂ,2020-12-09,2020-12-21,2020-12-21,生物科技/医药,hsics,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,万得(港股)中国企业综合指数成份;[HK]CXO;[HK]未盈利生物科技,False
01179,1179.HK,1179.HK,華住集團－Ｓ,2020-09-11,2020-09-22,2020-09-22,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,[HK]养老产业;万得(港股)中国企业综合指数成份;[HK]新经济;[HK]节假日;[HK]蓝筹股;[HK]核心资产;[HK]中概股回归;[HK]外资企业;[HK]连锁酒店,False
01209,1209.HK,1209.HK,華潤萬象生活,2020-11-25,2020-12-09,2020-12-09,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,[HK]凤凰之星最佳港股;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]高瓴资本;[HK]蓝筹股;[HK]核心资产;[HK]中资物业管理;[HK]国企;[HK]央企,False
01248,1248.HK,1248.HK,天兆豬業,2020-10-29,,,其他,fallback,,,,,True
01343,1343.HK,1343.HK,偉源控股,2020-02-25,2020-03-12,2020-03-12,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,[HK]外资企业,False
01351,1351.HK,1351.HK,輝煌明天,2020-10-28,2020-11-11,2020-11-11,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份;[HK]短视频,False
01376,1376.HK,1376.HK,RAFFLESINTERIOR,2020-04-21,2020-05-07,2020-05-07,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,[HK]外资企业,False
01379,1379.HK,1379.HK,温嶺工量刃具,2020-12-11,2020-12-30,2020-12-30,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份;[HK]地方国企;[HK]国企,False
01408,1408.HK,1408.HK,濠江機電,2020-08-31,2020-09-11,2020-09-11,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份;[HK]外资企业,False
01429,1429.HK,1429.HK,天任集團,2020-09-15,2020-09-29,2020-09-29,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份,False
01433,1433.HK,1433.HK,常達控股,2020-02-28,2020-03-12,2020-03-12,工业/制造,hsics,工业,HSCIIN.HI,恒生综合行业指数-工业,万得(港股)中国企业综合指数成份,False
01440,1440.HK,1440.HK,DEYUN HOLDING,2020-12-28,2021-01-13,2021-01-13,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份;[HK]外资企业,False
01449,1449.HK,1449.HK,立德教育,2020-07-27,2020-08-06,2020-08-06,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份;[HK]中资教育,False
01455,1455.HK,1455.HK,科利實業控股,2020-08-31,2020-09-15,2020-09-15,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份,False
01463,1463.HK,1463.HK,C-LINK SQ,2020-03-17,2020-03-27,2020-03-27,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,,False
01472,1472.HK,1472.HK,生興控股,2020-02-28,2020-03-17,2020-03-17,地产/建筑,hsics,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,万得(港股)中国企业综合指数成份,False
01477,1477.HK,1477.HK,歐康維視生物－Ｂ,2020-06-29,2020-07-10,2020-07-10,生物科技/医药,hsics,医疗保健业,HSCIH.HI,恒生综合行业指数-医疗保健业,万得(港股)中国企业综合指数成份;[HK]未盈利生物科技;[HK]创新药,False
01490,1490.HK,1490.HK,CHESHI,2020-12-31,2021-01-15,2021-01-15,消费/零售,hsics,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,万得(港股)中国企业综合指数成份,False
