date,ipo_count_30d,ipo_count_90d,avg_day1_return_60d,avg_day5_return_60d,avg_day20_return_60d,break_rate_60d,avg_mdd20_60d
2020-01-01,0,0,,,,,
2020-01-02,0,0,,,,,
2020-01-03,0,0,,,,,
2020-01-04,0,0,,,,,
2020-01-05,0,0,,,,,
2020-01-06,0,0,,,,,
2020-01-07,0,0,,,,,
2020-01-08,0,0,,,,,
2020-01-09,0,0,,,,,
2020-01-10,0,0,,,,,
2020-01-11,0,0,,,,,
2020-01-12,0,0,,,,,
2020-01-13,0,0,,,,,
2020-01-14,0,0,,,,,
2020-01-15,0,0,,,,,
2020-01-16,0,0,,,,,
2020-01-17,0,0,,,,,
2020-01-18,0,0,,,,,
2020-01-19,0,0,,,,,
2020-01-20,0,0,,,,,
2020-01-21,0,0,,,,,
2020-01-22,0,0,,,,,
2020-01-23,0,0,,,,,
2020-01-24,1,1,,,,0.0,
2020-01-25,1,1,,,,0.0,
2020-01-26,1,1,,,,0.0,
2020-01-27,1,1,,,,0.0,
2020-01-28,1,1,,,,0.0,
2020-01-29,1,1,,,,0.0,
2020-01-30,1,1,,,,0.0,
2020-01-31,1,1,,,,0.0,
2020-02-01,1,1,,,,0.0,
2020-02-02,1,1,,,,0.0,
2020-02-03,1,1,,,,0.0,
2020-02-04,1,1,,,,0.0,
2020-02-05,1,1,,,,0.0,
2020-02-06,1,1,,,,0.0,
2020-02-07,1,1,,,,0.0,
2020-02-08,1,1,,,,0.0,
2020-02-09,1,1,,,,0.0,
2020-02-10,1,1,,,,0.0,
2020-02-11,1,1,,,,0.0,
2020-02-12,1,1,,,,0.0,
2020-02-13,1,1,,,,0.0,
2020-02-14,2,2,-0.2272727272727273,-0.2909090909090909,-0.6696969696969698,0.5,-0.5372549019607844
2020-02-15,2,2,-0.2272727272727273,-0.2909090909090909,-0.6696969696969698,0.5,-0.5372549019607844
2020-02-16,2,2,-0.2272727272727273,-0.2909090909090909,-0.6696969696969698,0.5,-0.5372549019607844
2020-02-17,2,2,-0.2272727272727273,-0.2909090909090909,-0.6696969696969698,0.5,-0.5372549019607844
2020-02-18,2,2,-0.2272727272727273,-0.2909090909090909,-0.6696969696969698,0.5,-0.5372549019607844
2020-02-19,3,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-20,3,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-21,3,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-22,3,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-23,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-24,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-25,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-26,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-27,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
2020-02-28,2,3,-0.2564935064935065,-0.3329545454545455,-0.6455627705627707,0.6666666666666666,-0.49719887955182074
