date,total_amount_thousand_hkd,total_volume,n_stocks_traded
2020-01-02,68976476.555,9770488277.0,2068
2020-01-03,73070808.199,10887023611.0,2054
2020-01-06,68180497.99000001,10374533107.0,2020
2020-01-07,66369186.344,9581366709.0,2029
2020-01-08,68740780.728,9840739251.0,1959
2020-01-09,72080041.21599999,10173610804.0,2006
2020-01-10,82370281.644,12535631281.0,2027
2020-01-13,87130691.229,11526388396.0,2067
2020-01-14,94027287.456,14005367733.0,2068
2020-01-15,76985684.883,11288523052.0,2041
2020-01-16,78003969.893,11771462743.0,2074
2020-01-17,89332474.70300001,12287910688.0,2051
2020-01-20,87588516.36999999,11310621090.0,2035
2020-01-21,102960552.499,12817744396.0,2063
2020-01-22,74542976.49000001,8892168694.0,2018
2020-01-23,86807892.529,10322313686.0,1984
2020-01-24,33572415.009,3929254514.0,1728
2020-01-29,99404486.44000001,10843744981.0,2024
2020-01-30,97151618.21200001,15502696470.0,2081
2020-01-31,80352553.825,14265339546.0,2039
2020-02-03,104873633.23,13117041781.0,1991
2020-02-04,103563618.67,13377826863.0,2007
2020-02-05,101808148.977,13449247262.0,1992
2020-02-06,95202863.90300001,12984395252.0,2038
2020-02-07,74111133.152,10215714988.0,1939
2020-02-10,81832897.33,10029787046.0,1962
2020-02-11,84132509.53899999,12732740110.0,2060
2020-02-12,87234127.011,12924464781.0,2108
2020-02-13,82176834.17500001,11607445313.0,2061
2020-02-14,73754051.074,10540660151.0,2056
2020-02-17,72335492.289,11325249115.0,2045
2020-02-18,76003150.173,10776418362.0,1997
2020-02-19,67712993.279,10586156531.0,2025
2020-02-20,76131389.90200001,11160459542.0,2036
2020-02-21,76044621.432,10870849331.0,1992
2020-02-24,92538886.23599999,12833686505.0,1998
2020-02-25,88898800.59400001,11581021389.0,1978
2020-02-26,88510922.581,12234186068.0,2077
2020-02-27,84322000.185,12037905110.0,2001
2020-02-28,133576548.53,16296230868.0,2042
2020-03-02,97131202.098,12868404221.0,2016
2020-03-03,91083934.624,11784490049.0,1993
2020-03-04,87934176.771,11475436492.0,1958
2020-03-05,106171633.828,13131753411.0,2027
2020-03-06,95445534.479,12102055987.0,1969
2020-03-09,147146808.205,16900511249.0,2039
2020-03-10,116406103.71800001,13972789295.0,2043
2020-03-11,91438236.249,13076554303.0,1960
2020-03-12,129521986.909,17258402675.0,2054
2020-03-13,180976517.85799998,22536120611.0,2135
2020-03-16,139132143.257,16305305663.0,2062
2020-03-17,129318589.816,15927949896.0,2023
2020-03-18,142876626.33900002,25847824783.0,2061
2020-03-19,167838635.753,23794480070.0,2133
2020-03-20,146517007.373,18787258594.0,2068
2020-03-23,113023302.245,14632522661.0,1938
2020-03-24,112030959.005,14201870029.0,2027
2020-03-25,122192895.703,15684290352.0,2062
2020-03-26,93933630.38700001,12048365481.0,1928
2020-03-27,94031697.383,12279872483.0,2013
2020-03-30,81742007.14,12333400097.0,1915
2020-03-31,90014418.312,12896238373.0,1983
2020-04-01,106211991.625,13050499629.0,1948
2020-04-02,65300297.177,9653427745.0,1926
2020-04-03,58190476.638,8322347650.0,1955
2020-04-06,64095242.552999996,8703759846.0,1939
2020-04-07,97665335.291,13453542068.0,2012
2020-04-08,69880501.15100001,10953430059.0,1931
2020-04-09,72859179.073,11138857188.0,1981
2020-04-14,89806184.419,12384758620.0,2003
2020-04-15,89343465.099,11497454875.0,1984
2020-04-16,81949410.985,10866734802.0,1948
2020-04-17,112658565.836,12249062922.0,2019
2020-04-20,65801639.257,9369508586.0,1915
2020-04-21,82380614.54900001,11285665435.0,1936
2020-04-22,70445941.181,9981899914.0,1929
2020-04-23,72628221.396,10489768673.0,1956
2020-04-24,64342130.116000004,8870902516.0,1907
2020-04-27,68955871.945,10291816451.0,1984
2020-04-28,67664525.83,9152250658.0,1961
2020-04-29,67452810.08600001,10282139495.0,1981
2020-05-04,88248438.952,10639317266.0,1909
2020-05-05,53769104.422000006,6952193077.0,1874
2020-05-06,86272988.916,10481084365.0,1943
2020-05-07,66380429.06299999,8018599850.0,1895
2020-05-08,77989889.51900001,9687544466.0,1980
2020-05-11,83011737.125,9562545019.0,1969
2020-05-12,76880043.133,11196833030.0,1926
2020-05-13,81590741.715,11843426040.0,1924
2020-05-14,97438123.387,11480972786.0,1913
2020-05-15,80982352.704,10468746586.0,1954
2020-05-18,88966518.669,11738420217.0,2003
2020-05-19,101014883.896,14056519015.0,2043
2020-05-20,82759024.88100001,12591015746.0,1987
2020-05-21,100861199.68200001,12632453206.0,1949
2020-05-22,148030362.86699998,18220181077.0,2077
2020-05-25,91150490.60499999,12048162741.0,2004
2020-05-26,81218680.656,10927771202.0,2016
2020-05-27,86520862.143,11874684173.0,1980
2020-05-28,101428567.578,12397914484.0,2026
2020-05-29,155061117.162,17523264859.0,2054
2020-06-01,125802287.35,13315373183.0,2076
2020-06-02,88873774.064,13826706350.0,2027
2020-06-03,113589949.78899999,13928750872.0,2060
2020-06-04,96291498.968,13419987623.0,2047
2020-06-05,108917646.73699999,14935986424.0,2057
2020-06-08,104326415.79599999,13577164434.0,2088
2020-06-09,99838318.318,14462290700.0,2093
2020-06-10,98895865.26499999,13579351996.0,2003
2020-06-11,113139234.811,14242094967.0,1984
2020-06-12,88647155.547,11202334250.0,1962
2020-06-15,98363551.836,11877036681.0,1938
2020-06-16,89326789.052,12049453523.0,2067
2020-06-17,81884440.508,11021689077.0,2038
2020-06-18,96993456.76799999,11814750048.0,2043
2020-06-19,125807418.257,14982663421.0,2041
2020-06-22,96276175.346,11173154153.0,1999
2020-06-23,92285857.574,10183972884.0,2017
2020-06-24,91790737.51699999,12321373326.0,2035
2020-06-26,79180134.64999999,10347242111.0,1999
2020-06-29,109006984.639,13771864898.0,2018
2020-06-30,102183330.60200001,12920461902.0,2064
2020-07-02,148874496.004,16133199363.0,2103
2020-07-03,135974223.493,16679488164.0,2127
2020-07-06,209858535.69399998,24462506411.0,2198
2020-07-07,204216784.814,22365057062.0,2165
2020-07-08,162512595.792,17938778416.0,2128
2020-07-09,176514917.641,28135438699.0,2173
2020-07-10,165453261.891,23022063678.0,2112
2020-07-13,145292525.291,22046783732.0,2130
2020-07-14,150310184.638,19508981797.0,2116
2020-07-15,135702423.635,18866886749.0,2103
2020-07-16,166348451.669,18771201592.0,2096
2020-07-17,102516991.316,14340352187.0,2053
2020-07-20,108474380.10700001,14770739276.0,2034
2020-07-21,136561936.923,15669990401.0,2097
2020-07-22,126015718.672,16316668153.0,2059
2020-07-23,116728412.36,14194268798.0,2062
2020-07-24,137211771.11900002,16810773899.0,2070
2020-07-27,99672393.673,12520109544.0,2043
2020-07-28,89523004.10599999,11207235100.0,2022
2020-07-29,82171728.014,10675693529.0,2030
2020-07-30,101646004.92999999,13283095501.0,2037
2020-07-31,91795886.785,12680752201.0,2037
2020-08-03,107134442.653,13389522454.0,2039
2020-08-04,118193681.119,15439358854.0,2099
2020-08-05,98493006.348,14168213367.0,2078
2020-08-06,103249361.934,16245474224.0,2065
2020-08-07,141417192.29,19002843653.0,2068
2020-08-10,106888531.294,14386254545.0,2041
2020-08-11,112958434.838,20903215274.0,2118
2020-08-12,115146397.69000001,16205331914.0,2094
2020-08-13,90126184.186,14505649323.0,2090
2020-08-14,79420479.147,13392975116.0,2078
2020-08-17,103407371.43699999,14796813077.0,2103
2020-08-18,103543494.301,14327811060.0,2088
2020-08-19,72174542.889,8112735750.0,1858
2020-08-20,90359700.92099999,13321101996.0,2026
2020-08-21,93122392.78,12693910509.0,2054
2020-08-24,113082208.846,11947344258.0,2104
2020-08-25,102394048.72399999,11194448528.0,2052
2020-08-26,108733397.91999999,12697177066.0,2073
2020-08-27,121426187.136,13341201718.0,2106
2020-08-28,130523858.349,13303056655.0,2069
2020-08-31,149603681.821,17027702151.0,2080
2020-09-01,114031851.602,12916880153.0,2037
2020-09-02,131454988.26799999,13960911664.0,2046
2020-09-03,115144579.422,14029035133.0,2067
2020-09-04,177207647.93899998,15403742454.0,2030
2020-09-07,126325092.05,12591092578.0,2007
2020-09-08,109168264.112,11278104990.0,2033
2020-09-09,90426475.715,11770426641.0,1990
2020-09-10,80357591.803,10985569412.0,1987
2020-09-11,73937373.082,13341935191.0,1968
2020-09-14,75267380.08899999,12949650677.0,2011
2020-09-15,92998631.653,12850955339.0,1997
2020-09-16,81446625.124,12347692244.0,2020
2020-09-17,89042968.59899999,10944197477.0,1961
2020-09-18,118785489.241,15232534949.0,1964
2020-09-21,85840671.14199999,12238906579.0,1960
2020-09-22,78488472.762,10027547287.0,1967
2020-09-23,73993856.46,10296733662.0,1954
2020-09-24,86665503.90699999,12343239456.0,1936
2020-09-25,91133993.272,14704096616.0,2003
2020-09-28,72083991.552,10433093202.0,1986
2020-09-29,65707180.921,10337029601.0,1957
2020-09-30,76308163.316,11466472840.0,1963
2020-10-05,71485916.52600001,8026336077.0,1923
2020-10-06,64885936.848,9163469184.0,1951
2020-10-07,69269103.046,8410306045.0,1952
2020-10-08,64886468.331,10068530383.0,1896
2020-10-09,89012657.947,12505629898.0,1967
2020-10-12,108826472.246,14017152065.0,2031
2020-10-14,127734827.60299999,13670625241.0,1980
2020-10-15,100533207.065,11505607009.0,1926
2020-10-16,88146506.91,12904636015.0,1967
2020-10-19,97335284.545,12674758751.0,1958
2020-10-20,77326189.654,11131676707.0,1938
2020-10-21,83866847.08999999,10711990155.0,1955
2020-10-22,84820756.857,11383776912.0,1932
2020-10-23,87599106.245,11453464225.0,1955
2020-10-27,106261743.951,12163864086.0,2030
2020-10-28,109500256.81199999,11920759972.0,1993
2020-10-29,108848641.185,11037910657.0,2001
2020-10-30,125199192.56199999,13520408518.0,2007
2020-11-02,93988443.63499999,9997951455.0,1959
2020-11-03,103619781.213,13102048705.0,2000
2020-11-04,140879200.96400002,11310093264.0,1960
2020-11-05,146592531.264,13245937664.0,2065
2020-11-06,134275238.074,13432922808.0,1972
2020-11-09,140311005.206,15321859309.0,2059
2020-11-10,200938350.345,16646669705.0,2058
2020-11-11,238945016.914,17202065822.0,2032
2020-11-12,139988274.09399998,12189983637.0,1982
2020-11-13,126143236.247,13097795689.0,1985
2020-11-16,124554445.946,12530960515.0,2071
2020-11-17,122706450.896,11764144770.0,2033
2020-11-18,112333443.111,12197548435.0,1995
2020-11-19,111506661.81899999,12508732220.0,2036
2020-11-20,113450667.48300001,13057455001.0,2057
2020-11-23,132572161.139,15786781644.0,2043
2020-11-24,122693956.102,16483864770.0,2105
2020-11-25,151656531.81599998,18131828171.0,2107
2020-11-26,94353968.692,13984555888.0,2065
2020-11-27,93656070.878,13876993210.0,2054
2020-11-30,220386358.302,27082379076.0,2028
2020-12-01,130412553.43,15638302247.0,1995
2020-12-02,157624254.687,15100829651.0,2020
2020-12-03,113097484.64500001,13326379666.0,2037
2020-12-04,152161691.135,15825780934.0,2007
2020-12-07,111597813.443,17377670511.0,2029
2020-12-08,115271890.091,14144015868.0,2068
2020-12-09,116449159.635,15097592258.0,2081
2020-12-10,92058271.75299999,12513592031.0,2012
2020-12-11,116809879.637,15055450946.0,2070
2020-12-14,123350148.08,13184021016.0,2026
2020-12-15,122743564.285,13634101965.0,2016
2020-12-16,112496030.758,14168070362.0,2060
2020-12-17,111343382.184,13587143893.0,2048
2020-12-18,149165234.621,17953883448.0,2037
2020-12-21,126781886.767,14600576783.0,2058
2020-12-22,104195523.456,14355758043.0,2051
2020-12-23,111281243.776,14041744190.0,2045
2020-12-24,86241165.33999999,9111858201.0,1868
2020-12-28,170234367.19199997,18291014168.0,2137
2020-12-29,122886047.75500001,19911071014.0,2131
2020-12-30,134140821.483,19509925200.0,2116
2020-12-31,91471230.869,11495983879.0,1966
2021-01-04,153493450.57299998,18487369721.0,2164
2021-01-05,188539033.26,20800265047.0,2139
2021-01-06,187581005.827,19731413985.0,2138
2021-01-07,199403404.745,20520255618.0,2112
2021-01-08,239257938.32099998,24116991435.0,2114
2021-01-11,222144306.71400002,23704172765.0,2120
2021-01-12,170923105.437,18629003075.0,2095
2021-01-13,173584330.768,20431139601.0,2107
2021-01-14,179959064.71400002,21651004884.0,2160
2021-01-15,223166330.84199998,20820888067.0,2160
2021-01-18,195497506.997,21954607178.0,2177
2021-01-19,263132087.784,28775929156.0,2245
2021-01-20,264303512.314,23673961945.0,2217
2021-01-21,229783967.852,23402649333.0,2243
2021-01-22,211633773.82699996,27711716892.0,2188
2021-01-25,250666134.808,26003875813.0,2240
2021-01-26,240850046.718,24124368424.0,2186
2021-01-27,219373913.97,23067780814.0,2164
2021-01-28,225559165.909,20609828113.0,2143
2021-01-29,200028164.76999998,19897923864.0,2130
2021-02-01,164194660.637,16955106209.0,2141
2021-02-02,188580231.898,20914987763.0,2149
2021-02-03,186431623.032,22407167860.0,2174
2021-02-04,200377768.439,19043839328.0,2153
2021-02-05,204116436.005,19907860499.0,2185
2021-02-08,152916194.146,20212968998.0,2160
2021-02-09,122607177.905,21573646819.0,2186
2021-02-10,143229834.233,24335221317.0,2207
2021-02-11,76930033.17300001,10754432465.0,1967
2021-02-16,187088897.996,25021104936.0,2279
2021-02-17,177517745.385,27913303015.0,2316
2021-02-18,239714373.58200002,34798393729.0,2263
2021-02-19,212847334.434,29111030652.0,2253
2021-02-22,260409259.565,31998678710.0,2289
2021-02-23,228481067.475,29347627189.0,2246
2021-02-24,299935366.407,32709919453.0,2248
2021-02-25,216118580.95599997,24490247410.0,2234
2021-02-26,276152726.45100003,26142768598.0,2192
2021-03-01,178617258.236,19954538970.0,2170
2021-03-02,185902304.96400002,24880981720.0,2178
2021-03-03,151208288.63300002,19635988255.0,2183
2021-03-04,183656601.21699998,20089992954.0,2147
2021-03-05,197002810.77600002,22993815147.0,2158
2021-03-08,236937274.295,29419984426.0,2176
2021-03-09,230873762.623,23914475960.0,2174
2021-03-10,159094739.231,18762911542.0,2165
2021-03-11,178509683.79500002,19403379666.0,2172
2021-03-12,189545197.07799998,18370281335.0,2161
2021-03-15,158825706.764,15222441097.0,2138
2021-03-16,124551318.07100001,15729415242.0,2147
2021-03-17,117782905.517,14113733687.0,2111
2021-03-18,142248418.371,14619099706.0,2149
2021-03-19,176531228.411,18617742691.0,2081
2021-03-22,107486337.365,15638165963.0,2112
2021-03-23,135070297.464,15324801880.0,2099
2021-03-24,153840566.593,19519128150.0,2135
2021-03-25,167111866.33200002,15347428113.0,2103
2021-03-26,152450653.542,13825362212.0,2123
2021-03-29,159574857.491,15658234069.0,2130
2021-03-30,141702552.398,14445171882.0,2143
2021-03-31,137182166.42299998,15473530344.0,2120
2021-04-01,149851374.389,13079050322.0,2081
2021-04-07,144149941.467,13512232764.0,2084
2021-04-08,256586048.04500002,12264224893.0,2063
2021-04-09,116692433.253,10650303935.0,2052
2021-04-12,132302193.77600001,11010226231.0,2051
2021-04-13,115088268.33399999,11034491661.0,2051
2021-04-14,111914500.67699999,10634539951.0,2057
2021-04-15,100256758.24700001,10541698969.0,2035
2021-04-16,116906264.439,11659870141.0,2054
2021-04-19,124250961.684,12477972332.0,2071
2021-04-20,171123820.065,12302927391.0,2062
2021-04-21,129675850.24000001,10941772180.0,2037
2021-04-22,129653250.33599998,12467364240.0,2080
2021-04-23,119050314.987,11575139431.0,2070
2021-04-26,121464864.632,12455093900.0,2105
2021-04-27,122313059.419,11690070523.0,2066
2021-04-28,115425892.505,12285611085.0,2077
2021-04-29,94111805.30700001,10224979483.0,2068
2021-04-30,102898450.61299999,11110453013.0,2063
2021-05-03,71865297.78,9175999185.0,1977
2021-05-04,71795154.09200001,10067833251.0,2071
2021-05-05,79194640.225,10810836152.0,2078
2021-05-06,133601547.73900001,14089598842.0,2080
2021-05-07,127017067.548,13798851647.0,2067
2021-05-10,139759298.986,14633262858.0,2092
2021-05-11,156824922.55699998,15144845944.0,2086
2021-05-12,130864997.154,12485125069.0,2087
2021-05-13,136341231.64200002,12417097663.0,2029
2021-05-14,123932298.333,11733490463.0,2075
2021-05-17,119525819.277,11644211958.0,2056
2021-05-18,109036592.867,11817426087.0,2087
2021-05-20,144276953.375,13987646108.0,2072
2021-05-21,128128581.681,12381695618.0,2063
2021-05-24,101032715.585,14272929062.0,2045
2021-05-25,141075028.31,16719742796.0,2096
2021-05-26,135744822.525,14444827564.0,2063
2021-05-27,224217649.948,21417953940.0,2081
2021-05-28,147496829.349,15217171110.0,2116
2021-05-31,129534096.21800001,14833118158.0,2098
2021-06-01,132392473.191,12650956638.0,2083
2021-06-02,127628654.51000002,13659985546.0,2047
2021-06-03,116151427.15900001,14578762576.0,2083
2021-06-04,168583565.438,14747255284.0,2041
2021-06-07,122434737.89400001,12799421169.0,2049
2021-06-08,99193564.021,11907313929.0,2053
2021-06-09,95448451.542,12195580917.0,2050
2021-06-10,112725212.741,13094019969.0,2067
2021-06-11,109831145.359,12583304880.0,2082
2021-06-15,119248212.081,12375664343.0,2087
2021-06-16,117684328.45199999,11686764523.0,2054
2021-06-17,118314275.60800001,12316042131.0,2081
2021-06-18,182900473.24300003,16244731460.0,2078
2021-06-21,132688809.769,12798500912.0,2069
2021-06-22,119697062.533,11066000878.0,2067
2021-06-23,132233207.60800001,12237512955.0,2091
2021-06-24,107825973.392,11419184385.0,2067
2021-06-25,133287402.739,13747972602.0,2113
2021-06-28,90003059.94100001,9057684670.0,1967
2021-06-29,123101818.837,12785758653.0,2108
2021-06-30,121213538.215,13612599141.0,2100
2021-07-02,150381153.134,14209671311.0,2092
2021-07-05,141014801.512,10852835431.0,2091
2021-07-06,121028158.464,11755241698.0,2045
2021-07-07,132416421.506,11558754248.0,2060
2021-07-08,175074460.314,13899686069.0,2093
2021-07-09,158591987.69,12992003195.0,2081
2021-07-12,129680094.845,11073083874.0,2076
2021-07-13,130991190.279,11683743780.0,2093
2021-07-14,119167451.791,11478856412.0,2067
2021-07-15,125823602.163,11898695398.0,2082
2021-07-16,129038232.928,12259535844.0,2086
2021-07-19,117511055.11,11854186591.0,2090
2021-07-20,112975517.59099999,13157759647.0,2083
2021-07-21,128091784.171,11727059550.0,2101
2021-07-22,113585615.682,12997043505.0,2110
2021-07-23,115692038.401,12902100367.0,2117
2021-07-26,229405477.558,17193184222.0,2132
2021-07-27,315895890.791,21884881669.0,2184
2021-07-28,248490319.422,16307472842.0,2109
2021-07-29,218190084.48700002,14813483069.0,2118
2021-07-30,158082567.078,13178604944.0,2024
2021-08-02,138771117.155,13604509920.0,2045
2021-08-03,174773557.477,12147045478.0,2024
2021-08-04,141309977.20499998,12315246813.0,2059
2021-08-05,132366525.224,11621411318.0,2030
2021-08-06,123592965.915,10768372842.0,2032
2021-08-09,122738144.718,10427026677.0,2036
2021-08-10,130314558.12200001,11005391760.0,2078
2021-08-11,125933199.627,12674345441.0,2081
2021-08-12,114960800.789,10695548880.0,2057
2021-08-13,104670777.034,11041587850.0,2049
2021-08-16,112434681.934,10474160072.0,2047
2021-08-17,140780387.99,11657005178.0,2053
2021-08-18,109692260.20099999,9243997319.0,2020
2021-08-19,135199285.948,11034678119.0,2062
2021-08-20,171395850.641,14256492826.0,2120
2021-08-23,144051105.43400002,11632326373.0,2070
2021-08-24,145977015.042,10856421263.0,2093
2021-08-25,137262388.47,11224791838.0,2064
2021-08-26,116269332.172,11281737369.0,2033
2021-08-27,108428427.25999999,9960125941.0,2053
2021-08-30,117094566.274,11851045274.0,2075
2021-08-31,188188971.328,14761101766.0,2057
2021-09-01,155574036.046,13950767105.0,2091
2021-09-02,143442699.932,12207628253.0,2075
2021-09-03,152623125.111,13905269202.0,2097
2021-09-06,124689999.42699999,12725972612.0,2086
2021-09-07,120397860.441,14253028967.0,2112
2021-09-08,128033672.589,14234045748.0,2087
2021-09-09,141499631.49199998,13939528331.0,2080
2021-09-10,126024294.71000001,12480392550.0,2083
2021-09-13,121384789.94600001,13810702930.0,2043
2021-09-14,112843640.159,14507591013.0,2078
2021-09-15,128461253.346,13345039511.0,2114
2021-09-16,119593214.274,13891724239.0,2114
2021-09-17,166955322.076,15662280626.0,2074
2021-09-20,105936290.602,11962122859.0,2107
2021-09-21,89850764.114,8792464540.0,1996
2021-09-23,149005379.04500002,15835898541.0,2091
2021-09-24,124775951.842,13282414666.0,2023
2021-09-27,122287192.26,14144710843.0,2029
2021-09-28,119314711.83,13813365694.0,2035
2021-09-29,94221036.16499999,10969236693.0,2023
2021-09-30,93728903.79400001,10748138440.0,2025
2021-10-04,87201026.81,10053708087.0,1992
2021-10-05,77037656.8,9198321702.0,2003
2021-10-06,76430946.079,10131798306.0,2015
2021-10-07,83707775.09400001,10262253989.0,2051
2021-10-08,132595667.606,12583389038.0,2013
2021-10-11,138288483.281,12390455334.0,2036
2021-10-12,108427678.99599999,11149441988.0,1971
2021-10-15,150311797.79999998,13377443482.0,2050
2021-10-18,101417664.062,11428640325.0,2031
2021-10-19,98315599.78199999,10856635255.0,2079
2021-10-20,130921559.472,11183278425.0,2051
2021-10-21,115332445.294,12112145671.0,2020
2021-10-22,98639115.408,9963354397.0,2007
2021-10-25,90116016.66700001,9794987967.0,1997
2021-10-26,93148434.91199999,9915772871.0,2052
2021-10-27,96673591.45,10736176609.0,2011
2021-10-28,104207198.375,12057004256.0,2025
2021-10-29,100793752.532,11034989600.0,2014
2021-11-01,108012086.248,13761648355.0,2041
2021-11-02,116197499.571,12430712229.0,2044
2021-11-03,92625739.58399999,10296846204.0,2036
2021-11-04,95030597.11100002,12016531513.0,2022
2021-11-05,101746364.426,11282982744.0,2049
2021-11-08,97458977.766,9958457396.0,2023
2021-11-09,76293503.318,8425450575.0,2021
2021-11-10,105186714.801,11094132954.0,2032
2021-11-11,110685572.343,10866370569.0,2056
2021-11-12,109504039.226,11279122368.0,2018
2021-11-15,95804232.974,10099749169.0,2018
2021-11-16,103518978.499,10726678813.0,2095
2021-11-17,85410334.521,12767163713.0,2073
2021-11-18,89029292.383,9971576140.0,2033
2021-11-19,105358797.782,10571628703.0,2022
2021-11-22,104819582.64299999,11385030859.0,2045
2021-11-23,103128857.51900001,11501398301.0,2096
2021-11-24,110647633.81099999,10754242462.0,2028
2021-11-25,84530948.071,11293799867.0,2043
2021-11-26,103585484.222,11831211003.0,2055
2021-11-29,110288091.72600001,11637722612.0,2052
2021-11-30,185740225.62300003,19988543904.0,2044
2021-12-01,111971257.43,11786930414.0,2055
2021-12-02,118029153.5,14359899929.0,2027
2021-12-03,136899104.855,12591034833.0,2010
2021-12-06,139201423.23299998,12341645932.0,2004
2021-12-07,123841119.568,11328602600.0,2018
2021-12-08,90276890.473,9438361704.0,2014
2021-12-09,100997520.01200001,11474012433.0,2003
2021-12-10,87108133.816,9222702949.0,1981
2021-12-13,100019834.23599999,12575228116.0,2015
2021-12-14,93825392.963,12371893732.0,1994
2021-12-15,103184525.67999999,12850305768.0,2020
2021-12-16,106249895.04699999,11574622128.0,2032
2021-12-17,131629413.61199999,13176074232.0,2002
2021-12-20,97001229.52899998,11554704199.0,2011
2021-12-21,85874454.002,9572766485.0,1971
2021-12-22,70712032.503,8468310126.0,1986
2021-12-23,86129361.203,10857874987.0,2006
2021-12-24,39439354.912,6336529695.0,1793
2021-12-28,79536007.853,11349313103.0,2055
2021-12-29,44417728.032,6557301448.0,2000
2021-12-30,48401474.413,7881163147.0,2024
2021-12-31,44959741.391,5940212596.0,1875
2022-01-03,49936975.996,7870810761.0,1984
2022-01-04,96004709.167,12543602747.0,2042
2022-01-05,128398264.42999999,13651379822.0,2042
2022-01-06,107598269.33199999,16826908278.0,2042
2022-01-07,118636441.179,14800526775.0,2040
2022-01-10,107945980.787,14375260679.0,2053
2022-01-11,103722382.94,13323678278.0,2045
2022-01-12,123095985.547,11946882658.0,2046
2022-01-13,108242278.903,12347662514.0,2002
2022-01-14,92428775.942,11232208129.0,1971
2022-01-17,80995477.221,10326630025.0,2000
2022-01-18,85238582.063,9666021504.0,1995
2022-01-19,90880717.05,10623725900.0,1980
2022-01-20,143245373.599,13493085018.0,2031
2022-01-21,125797875.242,11101455881.0,1998
2022-01-24,97928504.891,10370226037.0,1977
2022-01-25,109738505.203,11324544411.0,1997
2022-01-26,101969932.382,11258300631.0,1948
2022-01-27,97749220.588,9182450339.0,1989
2022-01-28,89938326.524,8955722481.0,1979
2022-01-31,49189663.487,4514188153.0,1760
2022-02-04,83435599.31,7139548464.0,1993
2022-02-07,93210079.036,10297980322.0,2016
2022-02-08,98156470.966,9649244837.0,1997
2022-02-09,113890434.07699999,10173165535.0,2049
2022-02-10,101899485.44299999,10351511150.0,2049
2022-02-11,111402231.92,12468420834.0,2053
2022-02-14,86788138.267,9380610502.0,1980
2022-02-15,86532987.65200001,9982748071.0,1931
2022-02-16,78326144.442,9270762139.0,1953
2022-02-17,78553518.221,8676135344.0,1927
2022-02-18,96965829.47,8548674028.0,1930
2022-02-21,106784791.748,8328615013.0,1943
2022-02-22,109428018.42400001,10062871442.0,1962
2022-02-23,86763010.296,8507294036.0,1923
2022-02-24,131688443.45400001,13000857676.0,2028
2022-02-25,103168163.25999999,10291086759.0,1916
2022-02-28,119767537.339,12624199963.0,1951
2022-03-01,86901525.14299999,9363906180.0,2118
2022-03-02,90533708.39,9967382643.0,2091
2022-03-03,93157603.826,9432337073.0,2032
2022-03-04,131716268.265,11567769801.0,2062
2022-03-07,143764599.529,13649488534.0,2079
2022-03-08,129435448.53,13383432272.0,2042
2022-03-09,137206549.023,14890615893.0,2077
2022-03-10,108385514.62699999,10894447820.0,2045
2022-03-11,144560275.93400002,12284183821.0,2048
2022-03-14,174416157.537,16196305190.0,2099
2022-03-15,232565313.46899998,24191130123.0,2144
2022-03-16,243906367.526,22073129915.0,2126
2022-03-17,239106167.19599998,21375977908.0,2150
2022-03-18,191659204.03599998,20498916132.0,2015
2022-03-21,115352175.442,11776657378.0,2018
2022-03-22,111935562.212,11189102039.0,2014
2022-03-23,143463338.417,13088804233.0,2071
2022-03-24,123742359.285,12806483071.0,2048
2022-03-25,117612618.451,11651266856.0,2020
2022-03-28,106097767.51,10939264139.0,2008
2022-03-29,100214892.348,11296371959.0,2037
2022-03-30,127294823.758,14280969508.0,2041
2022-03-31,81933564.828,10717098213.0,2122
2022-04-01,73117736.784,9027765616.0,1971
