stock_code,status,source,public_subscription_multiple,note
03308,ok,xinguyufu_public,16.84,recent public list only
06745,ok,xinguyufu_public,227.58,recent public list only
02249,ok,xinguyufu_public,344.26,recent public list only
02797,ok,xinguyufu_public,1688.1,recent public list only
02475,ok,xinguyufu_public,3.78,recent public list only
00537,ok,xinguyufu_public,356.86,recent public list only
06951,ok,xinguyufu_public,327.49,recent public list only
03752,ok,xinguyufu_public,156.58,recent public list only
01377,ok,xinguyufu_public,354.64,recent public list only
01770,ok,xinguyufu_public,1067.54,recent public list only
08090,ok,xinguyufu_public,3015.69,recent public list only
07687,ok,xinguyufu_public,157.82,recent public list only
07656,ok,xinguyufu_public,3646.06,recent public list only
09971,ok,xinguyufu_public,4812.72,recent public list only
06880,ok,xinguyufu_public,413.63,recent public list only
02667,ok,xinguyufu_public,251.74,recent public list only
00668,ok,xinguyufu_public,27.57,recent public list only
06715,ok,xinguyufu_public,2134.81,recent public list only
02697,ok,xinguyufu_public,1790.4,recent public list only
06915,ok,xinguyufu_public,476.56,recent public list only
03952,ok,xinguyufu_public,4571.99,recent public list only
09637,ok,xinguyufu_public,963.56,recent public list only
02672,ok,xinguyufu_public,242.0,recent public list only
01191,ok,xinguyufu_public,1296.89,recent public list only
06228,ok,xinguyufu_public,4.42,recent public list only
02272,ok,xinguyufu_public,2115.21,recent public list only
09630,ok,xinguyufu_public,1007.22,recent public list only
03661,ok,xinguyufu_public,251.73,recent public list only
00368,ok,chiefgroup,10.73,
00589,empty,chiefgroup,,page has no 认购倍数
00873,ok,chiefgroup,13.86,
00909,ok,chiefgroup,644.25,
01147,ok,chiefgroup,115.63,
01153,ok,chiefgroup,2.79,
01156,ok,chiefgroup,9.44,
01163,ok,chiefgroup,6.18,
01167,ok,chiefgroup,299.59,
01179,ok,chiefgroup,3.39,
01209,ok,chiefgroup,29.78,
01248,empty,chiefgroup,,page has no 认购倍数
01343,ok,chiefgroup,4.79,
01351,ok,chiefgroup,31.32,
01376,ok,chiefgroup,14.17,
01379,ok,chiefgroup,27.68,
01408,ok,chiefgroup,8.99,
01429,ok,chiefgroup,26.76,
01433,ok,chiefgroup,74.68,
01440,ok,chiefgroup,33.62,
01449,ok,chiefgroup,27.94,
01455,ok,chiefgroup,7.7,
01463,ok,chiefgroup,11.15,
01472,ok,chiefgroup,2.47,
01477,ok,chiefgroup,1895.76,
01490,ok,chiefgroup,1274.76,
01502,ok,chiefgroup,146.22,
01516,ok,chiefgroup,10.42,
01597,ok,chiefgroup,77.19,
01643,ok,chiefgroup,30.66,
01645,ok,chiefgroup,168.29,
01650,ok,chiefgroup,19.92,
01795,ok,chiefgroup,18.3,
01855,ok,chiefgroup,36.25,
01859,empty,chiefgroup,,page has no 认购倍数
01936,ok,chiefgroup,5.33,
01940,ok,chiefgroup,10.09,
01941,ok,chiefgroup,1948.62,
01942,ok,chiefgroup,40.04,
01945,ok,chiefgroup,1394.0,
01950,ok,chiefgroup,12.47,
01952,ok,chiefgroup,654.41,
01953,ok,chiefgroup,15.9,
01957,ok,chiefgroup,23.5,
01961,ok,chiefgroup,23.06,
01971,ok,chiefgroup,111.82,
01981,ok,chiefgroup,34.64,
02057,ok,chiefgroup,6.69,
02096,ok,chiefgroup,589.47,
02101,ok,chiefgroup,1258.51,
02107,ok,chiefgroup,66.69,
02110,ok,chiefgroup,36.79,
02115,empty,chiefgroup,,page has no 认购倍数
02117,empty,chiefgroup,,page has no 认购倍数
02125,ok,chiefgroup,403.54,
02126,ok,chiefgroup,449.42,
02127,ok,chiefgroup,53.4,
02129,ok,chiefgroup,443.37,
02130,ok,chiefgroup,34.31,
02131,ok,chiefgroup,114.45,
02132,ok,chiefgroup,59.05,
02135,ok,chiefgroup,386.0,
02142,ok,chiefgroup,78.54,
02146,ok,chiefgroup,6.62,
02148,empty,chiefgroup,,page has no 认购倍数
02153,ok,chiefgroup,10.3,
02158,ok,chiefgroup,1633.84,
02159,ok,chiefgroup,168.75,
02169,ok,chiefgroup,12.0,
02263,ok,chiefgroup,130.35,
02381,ok,chiefgroup,37.3,
02599,empty,chiefgroup,,page has no 认购倍数
03347,ok,chiefgroup,414.39,
03390,ok,chiefgroup,6.79,
03913,ok,chiefgroup,44.46,
06063,ok,chiefgroup,14.15,
06078,ok,chiefgroup,608.56,
06618,ok,chiefgroup,421.91,
06666,ok,chiefgroup,10.71,
06677,ok,chiefgroup,8.91,
06688,empty,chiefgroup,,page has no 认购倍数
06813,empty,chiefgroup,,page has no 认购倍数
06900,empty,chiefgroup,,page has no 认购倍数
06918,ok,chiefgroup,20.4,
06933,ok,chiefgroup,5.59,
06958,ok,chiefgroup,102.0,
06968,ok,chiefgroup,0.28,
06969,ok,chiefgroup,116.0,
06978,ok,chiefgroup,259.58,
06988,ok,chiefgroup,1632.92,
06989,ok,chiefgroup,652.06,
06993,ok,chiefgroup,301.33,
06996,ok,chiefgroup,264.76,
06998,ok,chiefgroup,1247.52,
06999,ok,chiefgroup,0.57,
08489,ok,chiefgroup,35.9,
08496,ok,chiefgroup,16.4,
08616,ok,chiefgroup,34.7,
08620,ok,chiefgroup,196.21,
08623,ok,chiefgroup,29.09,
08657,ok,chiefgroup,13.15,
08659,ok,chiefgroup,11.3,
09600,ok,chiefgroup,446.57,
09608,ok,chiefgroup,25.24,
09616,ok,chiefgroup,300.07,
09618,ok,chiefgroup,178.9,
09633,ok,chiefgroup,1148.3,
09666,empty,chiefgroup,,page has no 认购倍数
09668,ok,chiefgroup,0.59,
09677,ok,chiefgroup,0.61,
09688,ok,chiefgroup,3.43,
09698,ok,chiefgroup,6.42,
09901,ok,chiefgroup,1.55,
09906,ok,chiefgroup,14.99,
09908,ok,chiefgroup,6.73,
09913,ok,chiefgroup,19.15,
09916,ok,chiefgroup,1414.06,
09923,ok,chiefgroup,641.38,
09926,ok,chiefgroup,639.2,
