stock_code,public_subscription_multiple,international_placing_multiple,offer_price,list_date_src,source,source_url,name
00013,5.23,,40.1,2021-06-30,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00013,
00020,5.18,,3.85,2021-12-30,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00020,
00100,1837.17,,165.0,2026-01-09,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00100,
00300,5.31,,54.8,2024-09-17,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00300,
00314,8.27,,18.6,2022-12-23,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00314,
00325,5999.96,,60.35,2025-01-10,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00325,
00368,10.73,,0.63,2020-07-17,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00368,
00501,9.28,,104.8,2026-01-12,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00501,
00537,356.86,9.17,45.98,2026-07-09,xinguyufu_public,https://xinguyufu.cn/api/ipo,普源精电
00606,1.3,,3.7,2021-07-02,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00606,
00638,550.99,,21.5,2025-10-22,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00638,
00666,1.27,,18.3,2023-12-18,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00666,
00668,27.57,10.24,99.32,2026-07-02,xinguyufu_public,https://xinguyufu.cn/api/ipo,安克创新
00699,147.67,,22.0,2025-11-06,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00699,
00800,73.44,,27.1,2025-11-06,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00800,
00805,2.52,,1.27,2025-01-13,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00805,
00816,1.2,,8.14,2022-03-10,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00816,
00873,13.86,,16.6,2020-10-30,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00873,
00909,644.25,,16.5,2020-09-25,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00909,
00917,12.05,,25.0,2024-05-27,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00917,
00999,1.44,,8.5,2024-12-20,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=00999,
01024,1204.16,,115.0,2021-02-05,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=01024,
01111,12.62,,1.04,2023-11-10,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=01111,
01147,115.63,,0.25,2020-05-13,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=01147,
01153,2.79,,3.86,2020-12-09,chiefgroup,https://www.chiefgroup.com.hk/cn/securities/hk-ipo-detail/dp?symbol=01153,
