date,open,close
2019-10-08,98.99,99.12
2019-10-09,99.13,99.13
2019-10-10,99.13,98.71
2019-10-11,98.72,98.34
2019-10-14,98.38,98.46
2019-10-15,98.46,98.3
2019-10-16,98.31,98.02
2019-10-17,98.03,97.58
2019-10-18,97.59,97.2
2019-10-21,97.12,97.32
2019-10-22,97.33,97.53
2019-10-23,97.54,97.48
2019-10-24,97.48,97.67
2019-10-25,97.66,97.84
2019-10-28,97.86,97.75
2019-10-29,97.74,97.68
2019-10-30,97.68,97.47
2019-10-31,97.47,97.31
2019-11-01,97.32,97.22
2019-11-04,97.2,97.54
2019-11-05,97.54,97.91
2019-11-06,97.91,97.96
2019-11-07,97.96,98.13
2019-11-08,98.12,98.39
2019-11-11,98.39,98.22
2019-11-12,98.22,98.35
2019-11-13,98.35,98.34
2019-11-14,98.34,98.16
2019-11-15,98.15,98.0
2019-11-18,97.91,97.82
2019-11-19,97.82,97.84
2019-11-20,97.84,97.91
2019-11-21,97.9,97.99
2019-11-22,97.99,98.28
2019-11-25,98.28,98.29
2019-11-26,98.29,98.26
2019-11-27,98.26,98.39
2019-11-28,98.39,98.34
2019-11-29,98.34,98.28
2019-12-02,98.26,97.87
2019-12-03,97.86,97.75
2019-12-04,97.73,97.62
2019-12-05,97.62,97.39
2019-12-06,97.4,97.69
2019-12-09,97.69,97.66
2019-12-10,97.66,97.48
2019-12-11,97.48,97.16
2019-12-12,97.15,97.28
2019-12-13,97.28,97.18
2019-12-16,97.12,97.05
2019-12-17,97.06,97.18
2019-12-18,97.2,97.42
2019-12-19,97.42,97.41
2019-12-20,97.41,97.69
2019-12-23,97.68,97.67
2019-12-24,97.67,97.68
2019-12-25,97.68,97.66
2019-12-26,97.66,97.59
2019-12-27,97.58,97.0
2019-12-30,96.98,96.78
2019-12-31,96.77,96.45
2020-01-02,96.52,96.81
2020-01-03,96.8,96.89
2020-01-06,96.81,96.63
2020-01-07,96.63,96.96
2020-01-08,96.96,97.34
2020-01-09,97.33,97.43
2020-01-10,97.42,97.38
2020-01-13,97.42,97.39
2020-01-14,97.39,97.4
2020-01-15,97.38,97.22
2020-01-16,97.22,97.31
2020-01-17,97.29,97.64
2020-01-20,97.63,97.6
2020-01-21,97.61,97.61
2020-01-22,97.6,97.5
2020-01-23,97.5,97.68
2020-02-03,97.41,97.82
2020-02-04,97.84,97.95
2020-02-05,97.95,98.26
2020-02-06,98.27,98.45
2020-02-07,98.47,98.71
2020-02-10,98.69,98.86
2020-02-11,98.86,98.77
2020-02-12,98.77,99.0
2020-02-13,98.99,99.11
2020-02-14,99.08,99.16
2020-02-17,99.12,99.16
2020-02-18,99.15,99.47
2020-02-19,99.47,99.63
2020-02-20,99.62,99.89
2020-02-21,99.89,99.35
2020-02-24,99.53,99.29
2020-02-25,99.29,98.98
2020-02-26,98.97,99.16
2020-02-27,99.14,98.41
2020-02-28,98.42,98.13
2020-03-02,98.0,97.57
2020-03-03,97.59,97.18
2020-03-04,97.17,97.37
2020-03-05,97.37,96.57
2020-03-06,96.58,96.11
2020-03-09,95.7,95.06
2020-03-10,95.04,96.56
2020-03-11,96.56,96.58
2020-03-12,96.57,97.45
2020-03-13,97.45,98.49
2020-03-16,98.64,97.99
2020-03-17,97.97,99.59
2020-03-18,99.59,100.88
2020-03-19,100.88,102.69
2020-03-20,102.7,102.39
2020-03-23,102.33,102.45
2020-03-24,102.47,101.79
2020-03-25,101.79,100.94
2020-03-26,100.94,99.41
2020-03-27,99.42,98.32
2020-03-30,98.46,99.03
2020-03-31,99.02,98.96
2020-04-01,98.96,98.95
2020-04-02,99.45,100.1
2020-04-03,100.11,100.63
2020-04-07,100.79,99.97
2020-04-08,99.96,99.97
2020-04-09,100.14,99.54
2020-04-10,99.55,99.52
2020-04-13,99.4,99.48
2020-04-14,99.48,98.88
2020-04-15,98.9,99.6
2020-04-16,99.58,100.07
2020-04-17,100.11,99.72
2020-04-20,99.78,99.97
2020-04-21,99.98,100.23
2020-04-22,100.23,100.34
2020-04-23,100.36,100.5
2020-04-24,100.5,100.24
2020-04-27,100.23,100.05
2020-04-28,100.05,99.98
2020-04-29,99.98,99.52
2020-04-30,99.51,99.02
2020-05-06,99.8,100.18
2020-05-07,100.17,99.83
2020-05-08,99.84,99.75
2020-05-11,99.83,100.22
2020-05-12,100.24,100.01
2020-05-13,100.0,100.22
2020-05-14,100.22,100.28
2020-05-15,100.28,100.38
2020-05-18,100.38,99.63
2020-05-19,99.63,99.57
2020-05-20,99.18,99.18
2020-05-21,99.42,99.41
2020-05-22,99.43,99.78
2020-05-25,99.8,99.79
2020-05-26,99.78,99.0
2020-05-27,99.0,98.96
2020-05-28,98.95,98.47
2020-05-29,98.48,98.26
2020-06-01,98.24,97.81
2020-06-02,97.81,97.67
2020-06-03,97.67,97.32
2020-06-04,97.32,96.76
2020-06-05,96.76,96.94
2020-06-08,96.9,96.7
2020-06-09,96.39,96.39
2020-06-10,96.39,96.09
2020-06-11,96.1,96.76
2020-06-12,96.76,97.1
2020-06-15,97.25,96.66
2020-06-16,96.65,97.0
2020-06-17,97.01,97.07
2020-06-18,97.07,97.46
2020-06-19,97.45,97.68
2020-06-22,97.64,97.05
2020-06-23,97.04,96.69
2020-06-24,96.67,97.23
2020-06-29,97.47,97.46
2020-06-30,97.46,97.38
2020-07-01,97.36,97.16
2020-07-02,97.16,97.22
2020-07-03,97.24,97.18
2020-07-06,96.79,96.78
2020-07-07,96.78,96.97
2020-07-08,96.87,96.5
2020-07-09,96.51,96.8
2020-07-10,96.78,96.67
2020-07-13,96.57,96.56
2020-07-14,96.57,96.24
2020-07-15,96.04,96.04
2020-07-16,96.3,96.3
2020-07-17,96.3,96.01
2020-07-20,96.07,95.8
2020-07-21,95.79,95.18
2020-07-22,95.17,94.98
2020-07-23,94.97,94.78
