date,open,high,low,close,volume,source
2019-10-02,2784.75,2811.8,2778.57,2802.93,640758653,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-03,2786.13,2815.94,2771.73,2806.7,589755329,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-04,2812.0,2812.64,2762.49,2783.47,542308881,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-08,2779.18,2821.72,2771.93,2795.41,1059474801,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-09,2787.32,2814.62,2777.15,2795.81,991126380,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-10,2800.55,2818.02,2787.22,2804.8,803141478,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-11,2829.92,2870.07,2829.92,2862.99,1037832507,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-14,2869.27,2922.43,2869.27,2896.59,1402643287,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-15,2905.92,2907.79,2888.53,2902.99,1074799133,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-16,2903.01,2924.04,2895.42,2910.98,971988360,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-17,2916.17,2925.66,2902.15,2925.41,809239700,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-18,2922.99,2931.38,2887.76,2899.7,963995995,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-21,2894.6,2916.63,2885.6,2910.19,637756194,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-22,2925.53,2925.91,2909.76,2920.16,688131125,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-23,2916.44,2922.28,2902.41,2912.52,749288295,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-24,2911.96,2962.53,2911.96,2957.39,1117146206,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-25,2961.8,2961.8,2925.21,2934.37,659449747,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-28,2958.25,2970.35,2947.16,2965.21,852293701,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-29,2979.96,2980.47,2946.97,2953.2,775183425,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-30,2954.32,2956.41,2921.38,2932.34,877907252,akshare.stock_hk_index_daily_sina(HSMBI)
2019-10-31,2932.6,2957.7,2929.95,2942.57,1071942827,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-01,2934.73,2981.38,2928.92,2980.49,755028261,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-04,2997.34,3030.48,2996.73,3029.26,1003738757,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-05,3020.46,3044.51,3012.99,3038.19,984596279,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-06,3023.38,3054.52,3017.3,3037.0,800900694,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-07,3040.11,3069.85,3030.87,3067.62,888762025,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-08,3072.33,3075.09,3045.38,3058.18,919008955,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-11,3034.75,3034.75,2956.84,2974.34,1209721327,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-12,2991.06,2994.66,2962.92,2988.51,656888329,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-13,2958.13,2960.2,2926.21,2939.6,1118373569,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-14,2927.34,2949.22,2908.73,2923.17,944928441,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-15,2946.44,2950.6,2927.43,2929.22,772426723,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-18,2943.02,2967.96,2930.98,2962.91,849811359,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-19,2945.13,3000.03,2942.84,2996.02,875496347,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-20,2967.78,2981.68,2958.11,2975.61,804849159,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-21,2940.81,2942.21,2920.26,2926.0,1071378553,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-22,2942.32,2951.58,2932.1,2943.24,586652748,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-25,2953.75,2986.4,2952.68,2967.38,858895532,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-26,2982.09,2991.56,2967.3,2967.3,1567270847,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-27,2970.81,2979.69,2956.26,2975.2,566276610,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-28,2950.22,2974.51,2950.22,2960.79,500419691,akshare.stock_hk_index_daily_sina(HSMBI)
2019-11-29,2941.7,2941.7,2884.96,2887.52,1201830942,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-02,2894.27,2901.18,2884.65,2890.27,906367391,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-03,2885.45,2895.1,2861.23,2887.24,1265547861,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-04,2870.35,2881.71,2857.96,2867.89,995080159,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-05,2887.52,2894.08,2876.93,2886.91,799007284,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-06,2899.6,2920.0,2892.73,2913.22,802591081,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-09,2912.39,2923.43,2899.93,2914.4,680743524,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-10,2907.72,2919.89,2897.06,2911.08,542835248,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-11,2906.03,2947.09,2902.76,2939.64,834122487,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-12,2954.58,2974.13,2954.58,2961.15,879930196,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-13,3004.88,3030.75,2994.74,3029.53,1413737070,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-16,3009.36,3028.14,2999.06,2999.06,927985277,akshare.stock_hk_index_daily_sina(HSMBI)
2019-12-17,2998.94,3066.15,2998.94,3066.15,1327295077,akshare.stock_hk_index_daily_sina(HSMBI)
