date,open,high,low,close,volume,source
2019-10-02,6193.37,6284.53,6183.56,6266.92,67798878,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-03,6233.97,6343.5,6216.48,6325.77,67243159,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-04,6361.82,6502.67,6313.1,6401.02,115787721,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-08,6419.01,6498.51,6368.35,6413.02,91764656,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-09,6387.46,6576.69,6364.35,6477.57,108912898,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-10,6498.92,6513.26,6436.99,6467.95,94910088,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-11,6543.53,6680.17,6542.93,6665.18,124733952,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-14,6716.09,6762.0,6650.55,6717.01,123226851,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-15,6720.86,6729.36,6666.73,6694.05,80977652,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-16,6676.09,6849.64,6645.51,6845.58,136143244,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-17,6881.17,6923.43,6803.64,6844.25,98857819,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-18,6862.17,6927.14,6825.46,6838.18,91461633,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-21,6843.86,6917.15,6791.48,6874.8,70264997,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-22,6818.86,6818.86,6656.36,6695.35,372437553,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-23,6685.39,6714.05,6579.45,6611.6,109207511,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-24,6630.95,6695.59,6627.23,6674.53,111201793,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-25,6691.41,6721.85,6623.62,6685.98,65610300,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-28,6749.92,6762.23,6683.95,6745.18,69982615,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-29,6798.85,6806.27,6711.48,6780.35,75006576,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-30,6781.37,6788.11,6709.35,6722.86,70617572,akshare.stock_hk_index_daily_sina(HSMPI)
2019-10-31,6749.6,6767.04,6692.9,6767.04,123968434,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-01,6720.64,6912.06,6705.6,6891.9,136905629,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-04,6959.47,7097.66,6939.49,7094.17,158126478,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-05,7119.25,7201.29,7074.51,7171.13,122733197,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-06,7159.26,7232.04,7134.91,7223.15,90681164,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-07,7190.27,7214.52,7125.75,7202.12,74112988,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-08,7175.34,7210.15,7100.46,7136.28,80393103,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-11,7079.55,7079.55,6876.51,6920.92,105914406,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-12,6975.99,7007.24,6913.47,6986.66,57796081,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-13,6892.99,6894.76,6803.44,6834.26,74674558,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-14,6830.53,6857.45,6741.54,6795.21,65929504,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-15,6846.57,6866.14,6737.7,6755.64,52962381,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-18,6742.49,6905.41,6726.41,6870.21,68248384,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-19,6860.02,7030.66,6826.07,7020.17,84872212,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-20,6979.96,7053.35,6965.95,6992.32,68781066,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-21,6899.62,6904.22,6794.85,6872.31,70761387,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-22,6910.99,6980.46,6868.63,6926.46,63862216,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-25,6971.64,7119.93,6965.24,7092.98,112751173,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-26,7126.53,7140.85,7011.06,7039.69,159236415,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-27,7059.57,7106.49,7018.37,7073.97,53848824,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-28,7048.63,7108.33,7042.82,7089.98,69852478,akshare.stock_hk_index_daily_sina(HSMPI)
2019-11-29,7043.53,7046.48,6913.68,6936.2,90856073,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-02,7009.07,7203.05,7002.89,7186.59,145149742,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-03,7152.69,7264.09,7094.65,7192.54,91849986,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-04,7113.01,7167.04,7035.69,7066.18,70240850,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-05,7118.38,7130.83,6997.27,7071.7,85485080,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-06,7106.11,7181.11,7080.05,7149.84,64817357,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-09,7175.75,7378.79,7174.72,7286.44,124298971,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-10,7248.95,7305.5,7216.31,7276.38,80386618,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-11,7274.94,7382.5,7268.08,7377.33,100132719,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-12,7412.09,7470.87,7361.01,7430.5,108258881,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-13,7534.26,7574.55,7474.77,7567.38,135244025,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-16,7512.31,7673.9,7497.47,7622.74,98179975,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-17,7651.28,7691.63,7567.67,7629.78,112280908,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-18,7618.67,7675.92,7553.27,7607.68,80427040,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-19,7604.01,7609.6,7447.36,7537.63,85983537,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-20,7552.93,7680.68,7533.45,7642.17,107068882,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-23,7645.86,7688.53,7610.88,7662.37,70209852,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-24,7632.68,7646.79,7595.6,7621.48,21267880,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-27,7695.96,7856.72,7695.96,7842.83,102679295,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-30,7868.71,7973.85,7849.53,7890.06,91812550,akshare.stock_hk_index_daily_sina(HSMPI)
2019-12-31,7858.63,7926.09,7800.62,7902.6,51834189,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-02,7956.21,8134.28,7947.33,8099.8,137670981,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-03,8205.02,8205.02,7936.64,7951.44,117593306,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-06,7880.28,7911.41,7750.26,7794.52,128704846,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-07,7828.86,7953.7,7798.02,7842.21,122018309,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-08,7731.13,7868.23,7702.15,7837.37,108557712,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-09,7913.61,7971.53,7899.29,7967.0,98130863,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-10,7880.32,7880.32,7781.7,7807.58,205241821,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-13,7866.28,7886.21,7786.94,7812.0,141708267,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-14,7876.04,7882.44,7762.02,7812.31,126176171,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-15,7809.49,7856.57,7737.42,7768.37,115573075,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-16,7790.39,7946.3,7771.95,7946.3,156208218,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-17,7908.82,7925.38,7782.78,7827.5,112611663,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-20,7778.82,7812.89,7581.91,7583.15,341198200,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-21,7531.38,7531.38,7264.05,7265.6,184988376,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-22,7313.52,7427.28,7240.35,7402.37,153314391,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-23,7287.41,7304.72,7068.96,7152.45,171666986,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-24,7116.13,7177.48,7063.35,7146.45,75940836,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-29,6821.5,6905.62,6818.95,6848.34,192038590,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-30,6817.75,6949.28,6643.78,6663.63,211206553,akshare.stock_hk_index_daily_sina(HSMPI)
2020-01-31,6774.8,6787.64,6634.76,6663.8,147766716,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-03,6608.42,6763.61,6578.68,6707.54,186258539,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-04,6730.1,6883.37,6724.29,6881.2,183167575,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-05,6925.6,6984.89,6847.95,6883.67,176043638,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-06,6971.02,7104.48,6874.01,7055.16,168006957,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-07,6995.83,7028.96,6912.31,6952.84,118837496,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-10,6865.21,7011.59,6823.66,6994.45,119377903,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-11,7042.75,7263.94,7020.4,7225.46,163739489,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-12,7260.64,7357.6,7217.06,7296.61,141237888,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-13,7296.66,7455.06,7296.66,7365.43,155044597,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-14,7352.85,7540.02,7350.1,7500.48,143161170,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-17,7508.45,7523.31,7461.95,7502.48,119516753,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-18,7405.75,7411.27,7281.2,7315.81,123407954,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-19,7309.65,7440.92,7297.59,7401.34,78085710,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-20,7409.86,7409.86,7236.26,7296.11,111247150,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-21,7255.85,7255.85,7138.12,7167.76,119284504,akshare.stock_hk_index_daily_sina(HSMPI)
2020-02-24,7119.98,7128.13,7020.35,7040.81,123109945,akshare.stock_hk_index_daily_sina(HSMPI)
