date,open,high,low,close,volume,source
2020-08-17,7037.86,7117.17,7004.77,7075.03,668079483,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-18,7147.73,7196.01,7075.06,7196.01,897377780,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-20,7183.25,7183.25,7060.78,7167.6,593284125,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-21,7205.57,7208.73,7104.01,7168.87,627111448,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-24,7247.6,7332.19,7198.76,7329.91,750081149,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-25,7348.1,7355.49,7153.69,7223.67,667478613,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-26,7311.5,7326.57,7219.82,7275.44,842352228,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-27,7352.09,7574.23,7311.0,7540.86,1155250006,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-28,7521.87,7745.92,7430.02,7580.9,1259995545,akshare.stock_hk_index_daily_sina(HSTECH)
2020-08-31,7746.63,7771.28,7543.86,7543.86,1004040070,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-01,7556.9,7683.66,7526.33,7674.71,737294545,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-02,7874.07,7909.39,7764.78,7909.39,900647173,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-03,7889.48,7889.48,7678.15,7706.06,872323883,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-04,7342.83,7622.35,7290.83,7588.02,1621716892,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-07,7481.19,7487.95,7213.81,7240.96,1360572948,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-08,7301.72,7326.01,7007.09,7123.28,824882736,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-09,6984.19,7086.74,6906.75,7015.64,689714381,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-10,7133.84,7200.8,6994.63,6999.72,509356841,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-11,7001.26,7195.96,6986.97,7178.27,475837510,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-14,7235.43,7345.08,7232.97,7317.31,465583015,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-15,7327.13,7374.48,7281.24,7348.72,966545985,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-16,7401.88,7464.42,7370.02,7430.09,632652612,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-17,7403.11,7433.0,7245.87,7301.56,563980046,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-18,7314.72,7371.82,7237.95,7371.82,578593054,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-21,7408.78,7422.87,7188.84,7195.75,605383863,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-22,7202.01,7319.08,7144.89,7233.32,389033832,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-23,7270.29,7327.99,7235.37,7298.62,361869596,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-24,7218.71,7223.84,7051.11,7054.28,497614724,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-25,7110.42,7134.45,6860.75,6918.77,789699954,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-28,6921.46,6998.21,6897.62,6978.59,480450033,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-29,7063.95,7078.74,6965.7,6977.3,330204067,akshare.stock_hk_index_daily_sina(HSTECH)
2020-09-30,7017.17,7143.14,6981.22,7087.64,368007689,akshare.stock_hk_index_daily_sina(HSTECH)
2020-10-05,7255.73,7255.73,7049.82,7092.06,337876610,akshare.stock_hk_index_daily_sina(HSTECH)
2020-10-06,7154.8,7350.2,7141.42,7336.35,414906030,akshare.stock_hk_index_daily_sina(HSTECH)
2020-10-07,7358.22,7494.59,7300.09,7494.59,342398683,akshare.stock_hk_index_daily_sina(HSTECH)
