date,当日成交净买额,买入成交额,卖出成交额,历史累计净买额,当日资金流入,当日余额,持股市值,领涨股,领涨股-涨跌幅,沪深300,沪深300-涨跌幅,领涨股-代码
2019-10-08,-1.4713999999999898,63.2099,64.68130000000001,0.9680507600000001,5.13,834.87,1867231044929.2,南京熊猫电子股份,10.99,25893.4,0.28,00553.HK
2019-10-09,24.0891,73.2708,49.1817,0.97045967,29.97,810.03,1860451866883.07,招金矿业,6.19,25682.81,-0.81,01818.HK
2019-10-10,20.854899999999997,62.1267,41.271800000000006,0.97254516,26.09,813.91,1874630042715.0,中远海能,8.67,25707.93,0.1,01138.HK
2019-10-11,11.4812,68.3599,56.8787,0.97369328,18.63,821.37,1916226884407.45,中远海能,9.97,26308.44,2.34,01138.HK
2019-10-14,32.3121,91.78020000000001,59.46810000000001,0.9769244899999999,37.67,802.33,1939957186251.37,赣锋锂业,7.26,26521.85,0.81,01772.HK
2019-10-15,11.1845,55.725,44.5405,0.9780429399999999,16.53,823.47,1939232398063.74,特步国际,10.26,26503.93,-0.07,01368.HK
2019-10-16,11.2104,66.2475,55.0371,0.9791639799999999,17.02,822.98,1953409356317.86,东方甄选,11.32,26664.28,0.61,01797.HK
2019-10-17,9.9873,55.0207,45.0334,0.98016271,15.1,824.9,1963493507519.67,众安在线,8.24,26848.49,0.69,06060.HK
2019-10-18,5.6377999999999995,55.34439999999999,49.7066,0.98072649,10.98,829.02,1956589878141.64,凯盛新能,28.05,26719.58,-0.48,01108.HK
2019-10-21,-0.3677,45.2367,45.6044,0.98068972,5.9,834.1,1961481617606.83,众安在线,8.42,26725.68,0.02,06060.HK
2019-10-22,-0.40700000000000003,45.7417,46.1487,0.98064902,5.7,834.3,1965072044392.31,中铝国际,24.06,26786.2,0.23,02068.HK
2019-10-23,7.4955,43.3953,35.8998,0.98139857,11.94,828.06,1948163065259.81,ASMPT,6.03,26566.73,-0.82,00522.HK
2019-10-24,-0.24,36.6719,36.9119,0.98137457,7.02,832.98,1965625124217.91,众安在线,9.7,26797.95,0.87,06060.HK
2019-10-25,4.569100000000001,42.3998,37.8307,0.98183148,10.11,829.89,1965669572836.81,丽珠医药,6.81,26667.39,-0.49,01513.HK
