date,open,high,low,close,volume,source
2021-03-18,0.0,20.85,20.22,22.39,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-19,0.0,21.51,20.86,21.38,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-22,0.0,21.64,20.83,20.77,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-23,0.0,21.54,20.21,21.01,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-24,0.0,22.06,20.52,21.04,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-25,0.0,23.1,19.98,21.61,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-26,0.0,19.99,18.8,20.04,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-29,0.0,20.41,19.24,19.17,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-30,0.0,19.25,18.43,19.4,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-03-31,0.0,18.81,18.04,18.54,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-01,0.0,18.45,17.56,18.32,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-07,0.0,18.76,18.03,17.79,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-08,0.0,17.7,17.17,18.3,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-09,0.0,17.83,17.1,17.25,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-12,0.0,18.38,17.61,17.1,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-13,0.0,18.19,17.23,17.72,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-14,0.0,18.36,17.69,18.08,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-15,0.0,18.9,18.17,18.04,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-16,0.0,19.08,18.08,18.47,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-19,0.0,19.64,19.16,18.79,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-20,0.0,20.13,19.06,19.41,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-21,0.0,20.49,19.52,19.08,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-22,0.0,19.09,18.36,19.7,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-23,0.0,18.39,17.65,18.37,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-26,0.0,18.2,17.51,17.8,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-27,0.0,17.71,17.07,17.54,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-28,0.0,17.09,16.21,17.08,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-29,0.0,16.8,16.11,16.22,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-04-30,0.0,17.22,16.71,16.46,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-03,0.0,18.52,17.82,16.89,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-04,0.0,18.12,17.29,18.04,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-05,0.0,17.96,17.07,17.32,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-06,0.0,17.8,17.38,17.8,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-07,0.0,17.51,17.03,17.52,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-10,0.0,17.7,17.07,17.34,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-11,0.0,19.38,18.0,17.28,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-12,0.0,19.8,18.41,18.55,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-13,0.0,20.45,18.98,18.53,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-14,0.0,19.93,18.8,20.41,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-17,0.0,18.97,18.14,18.87,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-18,0.0,18.05,17.51,18.38,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-20,0.0,18.62,17.81,17.51,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-21,0.0,18.09,17.07,17.99,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-24,0.0,17.78,16.99,17.15,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-25,0.0,16.74,16.16,16.59,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-26,0.0,17.01,16.59,16.72,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-27,0.0,16.67,16.32,16.4,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-28,0.0,17.01,16.11,16.25,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-05-31,0.0,17.04,16.31,16.55,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-01,0.0,17.23,16.73,17.16,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-02,0.0,17.6,16.78,16.9,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-03,0.0,17.31,16.6,16.92,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-04,0.0,17.18,16.35,16.44,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-07,0.0,17.6,16.68,16.86,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-08,0.0,16.95,16.4,16.44,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-09,0.0,16.72,16.32,16.38,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-10,0.0,16.5,16.21,16.41,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-11,0.0,16.07,15.51,15.75,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-15,0.0,17.38,16.15,16.94,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-16,0.0,17.44,16.95,17.34,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-17,0.0,17.39,16.62,16.97,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-18,0.0,17.07,16.57,16.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-21,0.0,19.27,18.08,18.08,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-22,0.0,18.23,17.53,18.22,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-23,0.0,17.92,17.05,17.5,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-24,0.0,17.68,16.77,16.78,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-25,0.0,16.76,16.33,16.51,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-28,0.0,16.94,16.34,16.39,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-29,0.0,16.46,16.08,16.2,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-06-30,0.0,16.17,15.82,16.07,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-02,0.0,17.61,16.48,17.39,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-05,0.0,18.2,17.29,17.79,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-06,0.0,18.28,17.28,17.4,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-07,0.0,18.54,17.68,17.98,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-08,0.0,21.27,18.1,21.22,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-09,0.0,22.23,18.89,19.35,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-12,0.0,18.96,17.88,18.26,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-13,0.0,17.52,16.81,17.17,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-14,0.0,17.53,17.01,17.2,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-15,17.19,17.27,16.51,16.94,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-16,17.17,17.23,16.45,16.53,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-19,18.49,19.51,18.32,19.11,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-20,19.49,20.51,18.88,19.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-21,18.88,20.67,18.88,19.83,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-22,18.86,18.86,17.96,18.48,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-23,18.26,20.07,18.22,19.98,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-26,23.09,25.38,22.02,25.11,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-27,24.64,36.49,23.56,33.68,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-28,29.07,31.98,28.34,28.42,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-29,24.3,25.93,22.61,23.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-07-30,26.13,26.91,23.96,25.13,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-02,24.52,26.32,23.06,23.55,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-03,23.14,25.4,23.14,23.78,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-04,23.17,24.1,21.81,21.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-05,22.53,23.49,21.41,23.0,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-06,23.59,24.23,22.52,22.79,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-09,24.44,24.97,21.7,22.67,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-10,21.65,23.07,20.97,21.01,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-11,21.52,21.52,19.86,19.98,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-12,20.2,20.49,19.13,19.78,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-13,20.82,20.85,19.33,19.79,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-16,20.25,21.59,19.45,20.66,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-17,20.54,23.48,20.25,22.89,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-18,21.58,22.75,21.37,22.11,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-19,22.62,25.35,22.04,24.72,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-20,25.18,28.96,24.67,27.2,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-23,25.38,25.91,24.32,25.33,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-24,23.98,24.35,22.96,23.0,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-25,22.77,24.17,22.34,23.1,0,akshare.stock_hk_index_daily_sina(VHSI)
2021-08-26,23.38,24.18,22.72,23.56,0,akshare.stock_hk_index_daily_sina(VHSI)
