query,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
02565,02565,派格生物医药：派达康全国首批商业化处方落地,派格生物医药（02565）发布公告，宣布派达康®全国首批商业化处方落地。截至2026年7月22日，派达康®已于包括北京大学人民医院及中南大学湘雅二医院在内的多家医疗机构陆续开出全国首批商业化处方。,2026-07-22 18:16:00,财中社,http://finance.eastmoney.com/a/202607223817414554.html
02565,02565,港股公告精选｜云知声上半年收入同比增超3成 赤子城科技中期营收或超6亿美元,派格生物医药-B02565.HK)：派达康®全国首批商业化处方落地及第二笔权益金付款条件达成，金额约为4900万港元。 融信中国(03301.HK)：上半年总合约销售额约12.94亿元，同比下降38.6%。,2026-07-22 20:46:00,财联社,http://finance.eastmoney.com/a/202607223817569333.html
02565,02565,创新药出海与政策提速双重共振！港股生物技术股集体走强，昭衍新药大涨近22%,截至发稿， 昭衍新药 (06127.HK) 大涨近22%， 派格生物医药-B 02565.HK) 涨超17%， 科伦博泰生物 (06990.HK) 涨近12%，康方生物 (09926.HK) 涨近10%， 药明合联 (02268.HK) 涨超8%， 药明生物 (02269.HK),2026-07-15 11:33:42,财联社,http://finance.eastmoney.com/a/202607153807238287.html
02565,02565,派格生物医药-B与Rani签署谅解备忘录推进口服制剂开发,"7月10日，派格生物医药-B（02565）发布公告，公司于2026年7月8日与美国纳斯达克上市公司RaniTherapeutics Holdings, Inc.签署了谅解备忘录，旨在推进多项代谢创新资产的口服化开发。",2026-07-10 10:09:00,财中社,http://finance.eastmoney.com/a/202607103801259725.html
02565,02565,机会速递 | 6月原煤产量同比骤降9.7%，板块兼具“旺季进攻+红利防守”双重属性；险企盈利与分红预期向好，国新及诚通超600亿增持央企；上半年38款创新药获批上市，国产占比超八成；多家游戏公司预计业绩大幅增长，机构指板块估值有望修复,派格生物医药-B02565：携手三方共同加速打通派达康商业化链路，产品市场放量蓄势待发 7月17日，派格生物医药-B、上海腾瑞制药股份有限公司与阿里健康(00241)在杭州正式签署战略合作协议。,2026-07-20 16:47:03,哈富证券,http://finance.eastmoney.com/a/202607203813322480.html
02565,02565,港股公告精选｜泛海集团上一财年营收增超160% 津上机床中国年度盈利超10亿港元,派格生物医药-B02565.HK)：核心产品维培那肽注射液通过2026年国家医保目录调整初步形式审查 知行集团控股(01539.HK)：预计截至2026年3月31日止年度净利润约6260万港元，同比增加约58%。,2026-06-29 21:11:00,财联社,http://finance.eastmoney.com/a/202606293786914445.html
02565,02565,医药股迎久违暴涨，多股现“20CM”涨停，资金从AI回来了？,港股市场中，包括药捷安康（02617.HK）、派格生物医药（02565.HK）、映恩生物（09606.HK）、荣昌生物（09995.HK）等个股涨幅超过10%。 如何看待医药股的暴涨？ 多位市场人士对第一财经记者表示，应该跟医药股超跌反弹有关。,2026-06-29 14:54:22,第一财经,http://finance.eastmoney.com/a/202606293786564349.html
02565,02565,港股早报 | DeepSeek V4正式版将上线并引入高峰定价 名创优品拟20亿港元大手笔回购,派格生物医药-B02565.HK)：核心产品维培那肽注射液通过2026年国家医保目录调整初步形式审查 知行集团控股(01539.HK)：预计截至2026年3月31日止年度净利润约6260万港元，同比增加约58%。,2026-06-30 07:23:00,财联社,http://finance.eastmoney.com/a/202606303787127863.html
02565,02565,派格生物医药-B：收到维培那肽商业化合作首笔权益金6100万港元,中证智能财讯派格生物医药-B（02565）6月5日晚间公告，根据与上海腾瑞制药股份有限公司就公司自主研制的国家1类新药维培那肽注射液（派达康®）在中国大陆地区商业化推广达成的合作安排，公司已收到腾瑞制药支付的首笔权益金6100万港元，标志着双方围绕派达康的商业化合作进入实质履约及全面推进阶段,2026-06-05 21:29:52,中国证券报·中证网,http://finance.eastmoney.com/a/202606053762242417.html
02565,02565,港股公告精选｜牧原股份5月商品猪销售超85亿元 龙源电力年内太阳能发电增长约三成,派格生物医药-B02565.HK)：收到腾瑞制药维培那肽商业化首笔权益金6100万港元。 复宏汉霖(02696.HK)：帕博利珠单抗生物类似药HLX17在多种已切除实体瘤患者中开展的国际多中心1期临床研究完成美国首例患者给药。,2026-06-05 20:20:00,财联社,http://finance.eastmoney.com/a/202606053762152112.html
