date,hs_sector,net_inflow
2019-10-08,能源业,0
2019-10-08,原材料业,0
2019-10-08,工业,0
2019-10-08,非必需性消费,0
2019-10-08,必需性消费,0
2019-10-08,医疗保健业,0
2019-10-08,电讯业,0
2019-10-08,公用事业,0
2019-10-08,金融业,0
2019-10-08,地产建筑业,0
2019-10-08,资讯科技业,0
2019-10-08,综合企业,0
2019-10-08,其他,0
2019-10-09,能源业,0
2019-10-09,原材料业,0
2019-10-09,工业,0
2019-10-09,非必需性消费,0
2019-10-09,必需性消费,0
2019-10-09,医疗保健业,0
2019-10-09,电讯业,0
2019-10-09,公用事业,0
2019-10-09,金融业,0
2019-10-09,地产建筑业,0
2019-10-09,资讯科技业,0
2019-10-09,综合企业,0
2019-10-09,其他,0
2019-10-10,能源业,0
2019-10-10,原材料业,0
2019-10-10,工业,0
2019-10-10,非必需性消费,0
2019-10-10,必需性消费,0
2019-10-10,医疗保健业,0
2019-10-10,电讯业,0
2019-10-10,公用事业,0
2019-10-10,金融业,0
2019-10-10,地产建筑业,0
2019-10-10,资讯科技业,0
2019-10-10,综合企业,0
2019-10-10,其他,0
2019-10-11,能源业,0
2019-10-11,原材料业,0
2019-10-11,工业,0
2019-10-11,非必需性消费,0
2019-10-11,必需性消费,0
2019-10-11,医疗保健业,0
2019-10-11,电讯业,0
2019-10-11,公用事业,0
2019-10-11,金融业,0
2019-10-11,地产建筑业,0
2019-10-11,资讯科技业,0
2019-10-11,综合企业,0
2019-10-11,其他,0
2019-10-14,能源业,0
2019-10-14,原材料业,0
2019-10-14,工业,0
2019-10-14,非必需性消费,0
2019-10-14,必需性消费,0
2019-10-14,医疗保健业,0
2019-10-14,电讯业,0
2019-10-14,公用事业,0
2019-10-14,金融业,0
2019-10-14,地产建筑业,0
2019-10-14,资讯科技业,0
2019-10-14,综合企业,0
2019-10-14,其他,0
2019-10-15,能源业,0
2019-10-15,原材料业,0
2019-10-15,工业,0
2019-10-15,非必需性消费,0
2019-10-15,必需性消费,0
2019-10-15,医疗保健业,0
2019-10-15,电讯业,0
2019-10-15,公用事业,0
2019-10-15,金融业,0
2019-10-15,地产建筑业,0
2019-10-15,资讯科技业,0
2019-10-15,综合企业,0
2019-10-15,其他,0
2019-10-16,能源业,0
2019-10-16,原材料业,0
2019-10-16,工业,0
2019-10-16,非必需性消费,0
2019-10-16,必需性消费,0
2019-10-16,医疗保健业,0
2019-10-16,电讯业,0
2019-10-16,公用事业,0
2019-10-16,金融业,0
2019-10-16,地产建筑业,0
2019-10-16,资讯科技业,0
2019-10-16,综合企业,0
2019-10-16,其他,0
2019-10-17,能源业,0
2019-10-17,原材料业,0
2019-10-17,工业,0
2019-10-17,非必需性消费,0
2019-10-17,必需性消费,0
2019-10-17,医疗保健业,0
2019-10-17,电讯业,0
2019-10-17,公用事业,0
2019-10-17,金融业,0
2019-10-17,地产建筑业,0
2019-10-17,资讯科技业,0
2019-10-17,综合企业,0
2019-10-17,其他,0
2019-10-18,能源业,0
2019-10-18,原材料业,0
2019-10-18,工业,0
2019-10-18,非必需性消费,0
2019-10-18,必需性消费,0
2019-10-18,医疗保健业,0
2019-10-18,电讯业,0
2019-10-18,公用事业,0
2019-10-18,金融业,0
2019-10-18,地产建筑业,0
2019-10-18,资讯科技业,0
2019-10-18,综合企业,0
2019-10-18,其他,0
2019-10-21,能源业,0
2019-10-21,原材料业,0
2019-10-21,工业,0
2019-10-21,非必需性消费,0
2019-10-21,必需性消费,0
2019-10-21,医疗保健业,0
2019-10-21,电讯业,0
2019-10-21,公用事业,0
2019-10-21,金融业,0
2019-10-21,地产建筑业,0
2019-10-21,资讯科技业,0
2019-10-21,综合企业,0
2019-10-21,其他,0
2019-10-22,能源业,0
2019-10-22,原材料业,0
2019-10-22,工业,0
2019-10-22,非必需性消费,0
2019-10-22,必需性消费,0
2019-10-22,医疗保健业,0
2019-10-22,电讯业,0
2019-10-22,公用事业,0
2019-10-22,金融业,0
2019-10-22,地产建筑业,0
2019-10-22,资讯科技业,0
2019-10-22,综合企业,0
