stock_code,windcode,name,hsics_l1_name,hsics_l1_code,hsics_l2_code,hsics_l3_code,hsics_path,hsics_composite_index_name
00001,0001.HK,长和,综合企业,80.0,8000.0,800010.0,综合企业(HS)-综合企业Ⅱ(HS)-综合企业Ⅲ(HS),恒生综合行业指数-综合企业
00002,0002.HK,中电控股,公用事业,40.0,4000.0,400010.0,公用事业(HS)-公用事业Ⅱ(HS)-常规电力(HS),恒生综合行业指数-公用事业
00003,0003.HK,香港中华煤气,公用事业,40.0,4000.0,400020.0,公用事业(HS)-公用事业Ⅱ(HS)-燃气供应(HS),恒生综合行业指数-公用事业
00004,0004.HK,九龙仓集团,地产建筑业,60.0,6010.0,601020.0,地产建筑业(HS)-地产(HS)-地产发展商(HS),恒生综合行业指数-地产建筑业
00005,0005.HK,汇丰控股,金融业,50.0,5010.0,501010.0,金融业(HS)-银行(HS)-银行Ⅲ(HS),恒生综合行业指数-金融业
00006,0006.HK,电能实业,公用事业,40.0,4000.0,400010.0,公用事业(HS)-公用事业Ⅱ(HS)-常规电力(HS),恒生综合行业指数-公用事业
00007,0007.HK,智富资源投资,非必需性消费,23.0,2320.0,232020.0,非必需性消费(HS)-家庭电器及用品(HS)-消费电子产品(HS),
00008,0008.HK,电讯盈科,电讯业,35.0,3500.0,350020.0,电讯业(HS)-电讯(HS)-电讯服务(HS),恒生综合行业指数-电讯业
00010,0010.HK,恒隆集团,地产建筑业,60.0,6010.0,601030.0,地产建筑业(HS)-地产(HS)-地产投资(HS),恒生综合行业指数-地产建筑业
00012,0012.HK,恒基地产,地产建筑业,60.0,6010.0,601020.0,地产建筑业(HS)-地产(HS)-地产发展商(HS),恒生综合行业指数-地产建筑业
00013,0013.HK,和黄医药,医疗保健业,28.0,2810.0,281010.0,医疗保健业(HS)-药品及生物科技(HS)-药品(HS),恒生综合行业指数-医疗保健业
00014,0014.HK,希慎兴业,地产建筑业,60.0,6010.0,601030.0,地产建筑业(HS)-地产(HS)-地产投资(HS),恒生综合行业指数-地产建筑业
