stock_code,windcode,name,issue_price,ipo_list_date,day1_open,day1_close,day1_pct_wind,public_offer_multiple,international_placing_multiple,public_offer_subscribers,one_lot_odds_pct
00001,0001.HK,长和,,1972-11-01,20.7,20.8,,,,,
00002,0002.HK,中电控股,,1980-01-02,22.0,22.2,,,,,
00003,0003.HK,香港中华煤气,,1960-12-31,30.0,30.0,,,,,
00004,0004.HK,九龙仓集团,,1921-01-01,74.0,76.0,,,,,
00005,0005.HK,汇丰控股,,1980-01-02,19.2,19.5,,,,,
00006,0006.HK,电能实业,,1980-01-02,6.3,6.4,,,,,
00007,0007.HK,智富资源投资,1.2,2000-09-08,1.55,1.63,35.8333333333333,9.896,,,
00008,0008.HK,电讯盈科,1.2,1994-10-18,1.13,1.13,-5.83333333333334,,,,
00010,0010.HK,恒隆集团,,1972-10-12,9.5,9.45,,,,,
00012,0012.HK,恒基地产,,1981-07-23,4.5,4.33,,,,,
00013,0013.HK,和黄医药,40.1,2021-06-30,51.4,60.3,50.3740648379052,5.23,5.0,21124.0,60.0
00014,0014.HK,希慎兴业,,1981-09-18,0.86,0.87,,,,,
00016,0016.HK,新鸿基地产,,1972-09-08,18.8,18.5,,,,,
00017,0017.HK,新世界发展,,1972-11-23,3.7,3.83,,,,,
00018,0018.HK,东方传媒集团,,1987-08-18,2.0,2.0,,,,,
00019,0019.HK,太古股份公司A,,1973-05-01,9.65,9.7,,,,,
00020,0020.HK,商汤-W,3.85,2021-12-30,3.91,4.13,7.27272727272727,5.18,1.5,36009.0,60.0
00021,0021.HK,大中华控股,,1954-03-01,7.1,7.25,,,,,
00022,0022.HK,茂盛控股,,1972-12-14,0.31,0.31,,,,,
00023,0023.HK,东亚银行,,1921-01-01,69.0,69.0,,,,,
00025,0025.HK,CHEVALIER INT'L,,1984-12-05,0.79,0.81,,,,,
00026,0026.HK,中华汽车,,1962-01-01,41.0,41.5,,,,,
00027,0027.HK,银河娱乐,1.12,1991-10-07,1.13,1.13,0.892857142857124,,,,
00028,0028.HK,天安,,1987-03-18,1.15,1.15,,,,,
00029,0029.HK,达力集团,,1980-01-04,0.93,0.93,,,,,
00030,0030.HK,云白国际,1.25,1991-10-09,1.26,1.26,0.800000000000001,,,,
00031,0031.HK,航天控股,,1981-08-25,1.4,1.07,,,,,
00032,0032.HK,港通控股,,1974-07-30,11.0,11.1,,,,,
00033,0033.HK,INTL GENIUS,1.5,2007-11-19,1.38,1.55,3.33333333333334,25.8,,,13.3
00034,0034.HK,九龙建业,,1995-07-04,7.5,7.5,,,,,
00035,0035.HK,远东发展,,1972-09-21,3.25,3.27,,,,,
00036,0036.HK,远东控股国际,,1973-02-12,1.65,1.8,,,,,
00037,0037.HK,远东酒店实业,,1979-07-03,1.65,1.65,,,,,
00038,0038.HK,第一拖拉机股份,4.5,1997-06-23,6.0,5.05,12.2222222222222,,,,
00039,0039.HK,中国北大荒,1.0,2001-01-16,1.03,1.06,6.00000000000001,1.97,2.47,,
00040,0040.HK,金山科技工业,,1984-07-02,1.4,1.16,,,,,
00041,0041.HK,鹰君,,1980-01-02,7.2,7.15,,,,,
00042,0042.HK,东北电气,1.8,1995-07-06,1.89,1.71,-5.0,,,,
00045,0045.HK,大酒店,,1921-01-01,34.0,34.0,,,,,
00046,0046.HK,科联系统,1.08,1998-05-18,1.08,1.16,7.40740740740739,,,,
00048,0048.HK,中国汽车内饰,0.93,2010-09-29,1.2,1.23,32.258064516129,,,,
00050,0050.HK,香港小轮(集团),,1921-01-01,47.75,48.0,,,,,
00051,0051.HK,海港企业,,1971-02-15,35.5,35.5,,,,,
00052,0052.HK,大快活集团,1.18,1991-10-09,1.3,1.3,10.1694915254237,,,,
00053,0053.HK,国浩集团,,1983-05-03,30.0,30.5,,,,,
00055,0055.HK,中星集团控股,1.0,1992-09-10,1.03,1.03,3.0,,,,
00057,0057.HK,震雄集团,1.68,1991-10-22,1.74,1.74,3.57142857142857,,,,
00058,0058.HK,新威国际,1.26,1999-09-03,1.3,1.28,1.58730158730159,,,,
00059,0059.HK,天誉置业,1.38,1993-11-16,2.15,2.15,55.7971014492754,,,,
00060,0060.HK,香港食品投资,1.13,1992-12-16,1.78,1.78,57.5221238938053,,,,
00061,0061.HK,绿领控股,1.28,1999-07-06,2.0,2.1,64.0625,,,,
00062,0062.HK,载通,,1961-05-01,5.5,5.4,,,,,
00063,0063.HK,中亚烯谷集团,,1986-02-26,0.5,0.5,,,,,
00064,0064.HK,结好控股,1.0,2002-06-06,0.98,1.02,2.0,1.91,,,
00065,0065.HK,弘海高新资源,0.7,2001-08-30,0.74,0.82,17.1428571428571,,2.53,,
00066,0066.HK,港铁公司,9.38,2000-10-05,12.0,11.6,23.6673773987207,29.4782,14.4,,
00068,0068.HK,群核科技,7.62,2026-04-17,20.7,18.6,144.094488188976,1590.56,14.46,240700.0,3.0
00069,0069.HK,香格里拉(亚洲),4.9,1993-06-17,6.2,6.2,26.530612244898,,,,
00070,0070.HK,金粤控股,,1973-01-01,0.15,0.15,,,,,
00071,0071.HK,美丽华酒店,,1970-07-01,25.0,26.0,,,,,
00072,0072.HK,超媒体控股,1.29,2009-09-09,1.35,1.37,6.2015503875969,120.7,,,8.01
00073,0073.HK,亚洲果业,,2009-11-26,51.25,19.94,,,,,
00075,0075.HK,渝太地产,,1984-11-12,1.4,1.38,,,,,
00076,0076.HK,谊砾控股,,1984-09-24,0.4,0.44,,,,,
00077,0077.HK,进智公共交通,1.07,2004-04-15,1.03,1.09,1.86915887850467,,1.28,,
00078,0078.HK,REGAL INT'L,,1980-11-03,3.2,2.95,,,,,
00079,0079.HK,世纪建业,1.28,1993-07-08,1.48,1.48,15.625,,,,
00080,0080.HK,CAI控股,1.03,2011-01-06,1.06,1.12,8.73786407766991,,,,
00081,0081.HK,中国海外宏洋集团,,1984-04-26,2.6,2.27,,,,,
00082,0082.HK,疯狂体育,1.0,1991-10-25,1.03,1.03,3.0,,,,
00083,0083.HK,信和置业,,1981-04-08,1.8,1.5,,,,,
00084,0084.HK,宝光实业,,1972-10-02,5.5,5.0,,,,,
00085,0085.HK,中电华大科技,2.01,1997-07-25,1.9,1.9,-5.47263681592039,,,,
00086,0086.HK,新鸿基公司,,1983-10-03,1.1,0.95,,,,,
00087,0087.HK,太古股份公司B,,1973-05-01,1.73,1.74,,,,,
00088,0088.HK,TAI CHEUNG HOLD,,1972-12-11,3.17,3.15,,,,,
00089,0089.HK,大生地产,,1973-02-21,2.6,2.52,,,,,
00090,0090.HK,普星能量,1.66,2009-07-10,2.56,2.71,63.2530120481928,1248.26,,,5.0
00092,0092.HK,冠军科技集团,1.2,1992-08-19,1.48,1.31,9.16666666666667,,,,
00093,0093.HK,零在科技金融,1.12,1991-10-23,1.2,1.2,7.14285714285713,,,,
00094,0094.HK,绿心集团,,1988-06-21,0.79,0.79,,,,,
00095,0095.HK,绿景中国地产,0.58,2005-12-02,0.9,0.77,32.7586206896552,1.68,,,
00096,0096.HK,YUSEI,1.25,2005-10-13,1.28,1.33,6.40000000000001,,,,
00097,0097.HK,恒基发展,,1972-11-06,6.7,6.65,,,,,
00098,0098.HK,兴发铝业,2.28,2008-03-31,2.2,2.11,-7.45614035087719,1.14,,,100.0
00099,0099.HK,王氏国际,,1983-12-15,2.55,2.45,,,,,
00100,0100.HK,MINIMAX-W,165.0,2026-01-09,235.4,345.0,109.090909090909,1837.17,36.76,417646.0,2.81
00101,0101.HK,恒隆地产,,1980-01-02,6.8,7.7,,,,,
00103,0103.HK,首佳科技,,1992-04-09,1.06,1.06,,,,,
00104,0104.HK,ASIA COMM HOLD,,1987-07-29,1.06,1.06,,,,,
00105,0105.HK,凯联国际酒店,,1985-10-24,1.05,1.07,,,,,
00106,0106.HK,朗诗绿色管理,,1986-03-24,1.1,1.1,,,,,
00107,0107.HK,四川成渝高速公路,1.55,1997-10-07,1.6,1.26,-18.7096774193548,,,,
00108,0108.HK,春雨医疗,,1973-02-09,0.15,0.26,,,,,
00110,0110.HK,中国长远,2.5,2000-02-16,2.7,3.3,32.0,,,,
00111,0111.HK,信达国际控股,1.0,2000-08-01,1.3,1.0,0.0,3.1,,,
00113,0113.HK,迪生创建,,1973-03-15,0.83,0.83,,,,,
00114,0114.HK,HERALD HOLD,,1970-03-12,1.0,0.44,,,,,
00115,0115.HK,钧濠集团,,1981-10-29,1.05,1.05,,,,,
00116,0116.HK,周生生,,1973-04-06,1.78,1.78,,,,,
00117,0117.HK,天利控股集团,1.3,2007-12-21,1.3,1.25,-3.84615384615385,3.4,,,90.0
00118,0118.HK,大同机械,,1988-12-12,1.52,1.52,,,,,
00119,0119.HK,保利置业集团,,1973-08-30,1.6,1.6,,,,,
00120,0120.HK,COSMOPOL INT'L,,1989-11-01,4.0,4.0,,,,,
00122,0122.HK,鳄鱼恤,,1971-01-01,2.7,2.8,,,,,
00123,0123.HK,越秀地产,1.05,1992-12-15,1.77,1.77,68.5714285714286,,,,
00124,0124.HK,粤海置地,1.8,1997-08-08,2.15,2.15,19.4444444444444,,,,
00125,0125.HK,新兴光学,1.12,1999-05-25,1.18,1.14,1.78571428571427,,,,
00126,0126.HK,佳宁娜,1.18,1991-11-01,1.24,1.21,2.54237288135593,,,,
00127,0127.HK,华人置业,,1921-01-01,42.0,42.0,,,,,
00128,0128.HK,安宁控股,,1972-11-16,2.1,2.1,,,,,
00129,0129.HK,泛海集团,,1973-01-24,0.75,0.75,,,,,
00130,0130.HK,慕诗国际,1.0,2002-02-11,1.08,1.27,27.0,6.0005,6.7,,
00131,0131.HK,卓能(集团),,1988-08-15,1.21,1.22,,,,,
00132,0132.HK,兴业控股,,1973-05-18,0.4,0.4,,,,,
00133,0133.HK,招商局中国基金,1.05,1993-07-22,7.8,7.8,642.857142857143,,,,
